instance_id,question_family_id,domain,question_type,context_length_label,answerable,gold_answer,raw_output_text,parsed_answer,normalized_gold_answer,normalized_model_answer,answer_correct,abstention_correct,hallucination,error_type,matched_context_value,matched_distractor_type,grading_rule_used,needs_semantic_review,review_reason,input_tokens,generation_latency_seconds,generated_tokens_count
FRED_0021_16K,FRED_0021,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16379,1.198428526520729,10
FRED_0008_32K,FRED_0008,FRED,ENTITY_UNIT_BINDING,32K,True,1.770,ANSWER: 1.77,1.77,1.77,1.77,True,True,False,CORRECT,1.77,,answer_only_exact_match,False,,32592,2.8195813689380884,8
SEC_0017_64K,SEC_0017,SEC,TEMPORAL_VERSION,64K,True,"-16,276,000,000",ANSWER: -16276000000.0,-16276000000.0,-16276000000.0,-16276000000.0,True,True,False,CORRECT,-16276000000.0,,answer_only_exact_match,False,,65280,7.945267615839839,11
FDA_0008_4K,FDA_0008,FDA,ENTITY_UNIT_BINDING,4K,True,100MG,ANSWER: 100MG,100MG,100mg,100mg,True,True,False,CORRECT,100MG,,answer_only_exact_match,False,,4255,0.30784551333636045,7
FRED_0022_32K,FRED_0022,FRED,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32525,2.864768575876951,10
FRED_0024_32K,FRED_0024,FRED,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32548,2.858408883213997,10
FRED_0024_64K,FRED_0024,FRED,UNANSWERABLE,64K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,64975,7.868732147850096,10
FRED_0025_32K,FRED_0025,FRED,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32544,2.859957803040743,10
SEC_0014_32K,SEC_0014,SEC,RETRIEVAL_CALCULATION,32K,True,47.90%,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,47.9,INSUFFICIENT_EVIDENCE,False,False,False,UNNECESSARY_ABSTENTION,,,answerable_instance_unnecessary_abstention,False,,32720,2.8753479085862637,10
SEC_0016_64K,SEC_0016,SEC,RETRIEVAL_CALCULATION,64K,True,-6.84%,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,-6.84,INSUFFICIENT_EVIDENCE,False,False,False,UNNECESSARY_ABSTENTION,,,answerable_instance_unnecessary_abstention,False,,65248,7.906001171097159,10
SEC_0022_32K,SEC_0022,SEC,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32725,2.881107237190008,10
SEC_0024_32K,SEC_0024,SEC,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32712,2.878514147363603,10
SEC_0025_32K,SEC_0025,SEC,UNANSWERABLE,32K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,32752,2.8801587531343102,10
FRED_0021_4K,FRED_0021,FRED,UNANSWERABLE,4K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,4254,0.3410388072952628,10
FRED_0021_8K,FRED_0021,FRED,UNANSWERABLE,8K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,8304,0.6189060527831316,10
FRED_0022_16K,FRED_0022,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16339,1.1993925869464874,10
FRED_0022_4K,FRED_0022,FRED,UNANSWERABLE,4K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,4206,0.32887968234717846,10
FRED_0022_8K,FRED_0022,FRED,UNANSWERABLE,8K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,8283,0.6220060978084803,10
FRED_0023_16K,FRED_0023,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16410,1.2402019472792745,10
