abstention_correct,answer_correct,answer_line_valid,answerable,context_length_label,domain,error_type,evidence_correct,execution_order_index,generated_tokens_count,generated_tokens_per_second,generation_latency_seconds,gold_answer,gold_answer_normalized,gold_evidence_display_ids,gold_evidence_ids,grading_rule_used,hallucination,input_tokens,instance_id,matched_context_record,matched_context_value,matched_distractor_type,needs_semantic_review,normalized_gold_answer,normalized_model_answer,parse_failure_reason,parsed_answer,parsed_selected_evidence,peak_allocated_vram_bytes,peak_reserved_vram_bytes,question,question_family_id,question_type,raw_output_text,review_reason,manual_adjudication,original_answer_correct,original_hallucination,original_error_type,final_answer_correct,final_hallucination,final_error_type,adjudication_method,adjudication_reason
False,False,True,False,64K,CLINICAL_TRIALS,FAILED_TO_ABSTAIN,,10,11,1.3909473103206067,7.908279428258538,,INSUFFICIENT_EVIDENCE,[],[],unanswerable_instance_factual_answer,True,65153,CT_0021_64K,"{'canonical_record_id': 'CT-NCT02339493-study-last-update-posted-df46f3ec', 'display_id': 'R656998F596', 'distractor_type': 'WRONG_FIELD', 'is_gold_or_equivalent': False, 'record_value': '2018-10-31'}",2018-10-31,WRONG_FIELD,False,INSUFFICIENT_EVIDENCE,2018-10-31,,2018-10-31,,18745859584,21323841536,"Using only the ClinicalTrials.gov records supplied in the context, what is the date on which results were first posted for trial NCT02339493 (""Electronic Alerts for Stroke Prevention in Patients With Atrial Fibrillation or Atrial Flutter"")?",CT_0021,UNANSWERABLE,ANSWER: 2018-10-31,,False,False,True,FAILED_TO_ABSTAIN,False,True,FAILED_TO_ABSTAIN,,
True,False,True,True,32K,CLINICAL_TRIALS,UNSUPPORTED_VALUE,,11,6,2.155263147200874,2.7838827976956964,715,715.0,"['R49BD6ECB64', 'R4B2CDBA6AD']","['CT-NCT03310021-study-start-date-79bbb709', 'CT-NCT03310021-study-primary-completion-a3ba8a2e']",answer_not_matched_to_context_value,True,32743,CT_0013_32K,,,,False,715,109,,109,,12623098368,21323841536,"Using only the ClinicalTrials.gov records supplied in the context, calculate the number of calendar days between the study start date and the primary completion date of trial NCT03310021 (""A Healthy Volunteer Pharmacokinetics (PK)/Pharmacodynamics (PD), Safety and Tolerability Study of Andexanet in Healthy Japanese and Caucasian Subjects""). Report a whole number of days. Use the primary completion date, not the overall study completion date and not the last update posted date.",CT_0013,RETRIEVAL_CALCULATION,ANSWER: 109,,False,False,True,UNSUPPORTED_VALUE,False,True,UNSUPPORTED_VALUE,,
False,False,True,False,64K,SEC,FAILED_TO_ABSTAIN,,12,11,1.3896367002294259,7.915737975388765,,INSUFFICIENT_EVIDENCE,[],[],unanswerable_instance_factual_answer,True,65197,SEC_0024_64K,"{'canonical_record_id': 'SEC-0000789019-OperatingExpenses-USD-2013-07-01-2013-09-30-0001193125-13-409855-d4f293a3', 'display_id': 'R8AE3C23070', 'distractor_type': 'OTHER_SAME_DOMAIN', 'is_gold_or_equivalent': False, 'record_value': '7081000000.0'}",7081000000.0,OTHER_SAME_DOMAIN,False,INSUFFICIENT_EVIDENCE,7081000000.0,,7081000000.0,,18754172416,21323841536,"Using only the SEC XBRL company-facts records supplied in the context, what value did PFIZER INC (CIK 0000078003) report for the us-gaap concept ""OperatingExpenses"" (Operating Expenses) for the annual XBRL frame CY2023?",SEC_0024,UNANSWERABLE,ANSWER: 7081000000.0,,False,False,True,FAILED_TO_ABSTAIN,False,True,FAILED_TO_ABSTAIN,,
True,True,True,True,32K,SEC,CORRECT,,13,11,3.753147833503674,2.9308730931952596,"14,527,000,000",14527000000.0,['R2502756E9E'],['SEC-0000320193-IncomeTaxExpenseBenefit-USD-CY2021-0000320193-23-000106-b260dbee'],answer_only_exact_match,False,32775,SEC_0007_32K,"{'canonical_record_id': 'SEC-0000320193-IncomeTaxExpenseBenefit-USD-2020-09-27-2021-09-25-0000320193-21-000105-c5bad546', 'display_id': 'RF900BCEDCD', 'distractor_type': 'WRONG_PERIOD', 'is_gold_or_equivalent': False, 'record_value': '14527000000.0'}",14527000000.0,WRONG_PERIOD,False,14527000000.0,14527000000.0,,14527000000.0,,12627712512,21323841536,"Using only the SEC XBRL company-facts records supplied in the context, what value did Apple Inc. (CIK 0000320193) report for us-gaap:IncomeTaxExpenseBenefit for the annual XBRL frame CY2021, in USD? Report the exact value for that filer.",SEC_0007,ENTITY_UNIT_BINDING,ANSWER: 14527000000.0,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,False,16K,FRED,CORRECT,,14,10,8.344260653601049,1.198428526520729,,INSUFFICIENT_EVIDENCE,[],[],answer_only_exact_match,False,16379,FRED_0021_16K,,,,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,,9530098176,21323841536,"Using only the FRED records supplied in the context, what value does FRED report for FRED series DGS10 (""Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity""), measured in Percent, not seasonally adjusted, daily frequency, for the observation dated 2009-09-07?",FRED_0021,UNANSWERABLE,ANSWER: INSUFFICIENT_EVIDENCE,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,32K,FRED,UNSUPPORTED_VALUE,,15,8,2.8400574620406567,2.816844414919615,0.00%,0.0,"['RE02842316A', 'RBF93AF1F4B']","['FRED-ILUR-2026-06-01-latest-4d52d8ef', 'FRED-ILUR-2026-05-01-latest-d51617d6']",answer_not_matched_to_context_value,True,32593,FRED_0012_32K,,,,False,0.0,0.05,,0.05,,12593321472,21323841536,"Using only the FRED records supplied in the context, calculate the percentage change in FRED series ILUR (""Unemployment Rate""), measured in Percent, seasonally adjusted, monthly frequency between the observation dated 2026-05-01 and the observation dated 2026-06-01. Use both values from the most recent vintage, apply ((value_2026-06-01 - value_2026-05-01) / value_2026-05-01) * 100, and round to two decimal places.",FRED_0012,RETRIEVAL_CALCULATION,ANSWER: 0.05,,False,False,True,UNSUPPORTED_VALUE,False,True,UNSUPPORTED_VALUE,,
True,False,True,True,8K,SEC,WRONG_ENTITY,,16,11,17.331279324054577,0.6346905957907438,"-15,999,000,000",-15999000000.0,['RDA0BE3F7B6'],['SEC-0000078003-NetCashProvidedByUsedInF-USD-CY2012-0000078003-15-000014-5a37c69c'],answer_matches_context_distractor_value,False,8334,SEC_0008_8K,"{'canonical_record_id': 'SEC-0000200406-NetCashProvidedByUsedInF-USD-CY2012-0000200406-15-000004-83f267bd', 'display_id': 'R9D2D4AC90A', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': '-20562000000.0'}",-20562000000.0,WRONG_ENTITY,False,-15999000000.0,-20562000000.0,,-20562000000.0,,8009340416,21323841536,"Using only the SEC XBRL company-facts records supplied in the context, what value did PFIZER INC (CIK 0000078003) report for us-gaap:NetCashProvidedByUsedInFinancingActivities for the annual XBRL frame CY2012, in USD? Report the exact value for that filer.",SEC_0008,ENTITY_UNIT_BINDING,ANSWER: -20562000000.0,,False,False,False,WRONG_ENTITY,False,False,WRONG_ENTITY,,
True,True,True,True,64K,SEC,CORRECT,,17,11,1.385330082709828,7.940345869399607,"10,151,000,000",10151000000.0,['R93E3DF4118'],['SEC-0000078003-NetCashProvidedByUsedInO-USD-2016-01-01-2016-10-02-0000078003-17-000049-12a9492c'],answer_only_exact_match,False,65294,SEC_0019_64K,"{'canonical_record_id': 'SEC-0000078003-NetCashProvidedByUsedInO-USD-2016-01-01-2016-10-02-0000078003-17-000049-12a9492c', 'display_id': 'R93E3DF4118', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '10151000000.0'}",10151000000.0,,False,10151000000.0,10151000000.0,,10151000000.0,,18772502016,24538775552,"Using only the SEC XBRL company-facts records supplied in the context, what value did PFIZER INC (CIK 0000078003) report for us-gaap:NetCashProvidedByUsedInOperatingActivities for the period ending 2016-10-02 in the MOST RECENTLY FILED version of that fact — accession 0000078003-17-000049, form 10-Q, filed 2017-11-09 — in USD? Report the exact value from that version.",SEC_0019,TEMPORAL_VERSION,ANSWER: 10151000000.0,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,64K,FRED,CORRECT,,18,8,1.0284958932600587,7.778348997235298,1.770,1.77,['R402DBA2483'],['FRED-WGS10YR-2015-01-30-latest-bd2bd66f'],answer_only_exact_match,False,64980,FRED_0008_64K,"{'canonical_record_id': 'FRED-WGS10YR-2015-01-30-latest-bd2bd66f', 'display_id': 'R402DBA2483', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '1.77'}",1.77,,False,1.77,1.77,,1.77,,18713168384,24538775552,"Using only the FRED records supplied in the context, report the value of FRED series WGS10YR (""Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity""), measured in Percent, not seasonally adjusted, weekly frequency for United States on the observation dated 2015-01-30. Report the value for series WGS10YR exactly.",FRED_0008,ENTITY_UNIT_BINDING,ANSWER: 1.77,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,8K,FDA,CORRECT,,19,11,17.319178915526983,0.6351340357214212,2018-08-24,2018-08-24,['R9FBFBD62FA'],['FDA-ANDA209306-submission-ORIG-1-0b1fd305'],answer_only_exact_match,False,8328,FDA_0018_8K,"{'canonical_record_id': 'FDA-ANDA209306-submission-ORIG-1-0b1fd305', 'display_id': 'R9FBFBD62FA', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '2018-08-24'}",2018-08-24,,False,2018-08-24,2018-08-24,,2018-08-24,,8008206848,24538775552,"Using only the Drugs@FDA records supplied in the context, what is the submission status date of the ORIGINAL submission (submission type ORIG) for FDA application ANDA209306 (sponsor: LUPIN)? Answer in YYYY-MM-DD form.",FDA_0018,TEMPORAL_VERSION,ANSWER: 2018-08-24,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,64K,FDA,UNSUPPORTED_VALUE,,20,6,0.7770274419492637,7.72173500712961,3,3.0,"['R84E3920385', 'RA919FF4E94', 'R072387E691']","['FDA-ANDA217066-001-product-dosage-form-c729e56e', 'FDA-ANDA217066-002-product-dosage-form-61bdc384', 'FDA-ANDA217066-003-product-dosage-form-8625f203']",answer_not_matched_to_context_value,True,65009,FDA_0012_64K,,,,False,3,7,,7,,18718647808,24538775552,"Using only the Drugs@FDA records supplied in the context, how many distinct product entries are listed under FDA application ANDA217066 (sponsor: ZYDUS PHARMS)? Count the products belonging to that application number only, and answer with an integer.",FDA_0012,RETRIEVAL_CALCULATION,ANSWER: 7,,False,False,True,UNSUPPORTED_VALUE,False,True,UNSUPPORTED_VALUE,,
True,True,True,True,64K,FDA,CORRECT,,21,6,0.7751820961159025,7.740116844885051,5,5.0,"['R0BD4A74409', 'RE6D7B20123', 'R2931E659B5', 'R5E58A20C63', 'RC69FDCD8A4']","['FDA-NDA020357-001-product-dosage-form-fe6fb84a', 'FDA-NDA020357-002-product-dosage-form-d7f949e9', 'FDA-NDA020357-003-product-dosage-form-25562254', 'FDA-NDA020357-004-product-dosage-form-a4545c89', 'FDA-NDA020357-005-product-dosage-form-e52eba89']",answer_only_exact_match,False,65039,FDA_0013_64K,,,,False,5,5,,5,,18724317696,24538775552,"Using only the Drugs@FDA records supplied in the context, how many distinct product entries are listed under FDA application NDA020357 (sponsor: EMD SERONO INC)? Count the products belonging to that application number only, and answer with an integer.",FDA_0013,RETRIEVAL_CALCULATION,ANSWER: 5,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,8K,CLINICAL_TRIALS,CORRECT,,22,8,13.137584091138736,0.6089399652555585,ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,['RB0734CF34D'],['CT-NCT01340300-arm-type-Control-3-fc797906'],answer_only_exact_match,False,8382,CT_0006_8K,"{'canonical_record_id': 'CT-NCT01794143-arm-type-Sulfonylurea-glimepiride-0-27e19498', 'display_id': 'R0B02B9D90F', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': 'ACTIVE_COMPARATOR'}",ACTIVE_COMPARATOR,WRONG_ENTITY,False,active_comparator,active_comparator,,ACTIVE_COMPARATOR,,8018408960,24538775552,"Using only the ClinicalTrials.gov records supplied in the context, what is the arm-group TYPE of the arm labelled ""Control"" in trial NCT01340300 (""Exercise and Metformin in Colorectal and Breast Cancer Survivors"")? Answer with the ClinicalTrials.gov arm type value (for example EXPERIMENTAL, ACTIVE_COMPARATOR, PLACEBO_COMPARATOR, SHAM_COMPARATOR, NO_INTERVENTION or OTHER).",CT_0006,ENTITY_UNIT_BINDING,ANSWER: ACTIVE_COMPARATOR,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,True,64K,FDA,CORRECT,,23,7,0.9017777780023766,7.76244455203414,100MG,100MG,['RDD82BB12F5'],['FDA-ANDA090428-003-strength-LOSARTAN-POTASSIUM-0-73ee1961'],answer_only_exact_match,False,65075,FDA_0008_64K,"{'canonical_record_id': 'FDA-ANDA090790-003-strength-LOSARTAN-POTASSIUM-0-24a9e319', 'display_id': 'RCDF47CC723', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': '100MG'}",100MG,WRONG_ENTITY,False,100mg,100mg,,100MG,,18731119104,24538775552,"Using only the Drugs@FDA records supplied in the context, what is the listed strength of LOSARTAN POTASSIUM in product number 003 under FDA application ANDA090428 (dosage form TABLET, route ORAL)? Report the strength string exactly as recorded.",FDA_0008,ENTITY_UNIT_BINDING,ANSWER: 100MG,,False,True,False,CORRECT,True,False,CORRECT,,
True,True,True,False,8K,SEC,CORRECT,,24,10,16.051453517011318,0.6229965398088098,,INSUFFICIENT_EVIDENCE,[],[],answer_only_exact_match,False,8372,SEC_0021_8K,,,,False,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,,8016519680,24538775552,"Using only the SEC XBRL company-facts records supplied in the context, what value did JPMORGAN CHASE & CO (CIK 0000019617) report for the us-gaap concept ""SellingGeneralAndAdministrativeExpense"" (Selling, General and Administrative Expense) for the annual XBRL frame CY2023?",SEC_0021,UNANSWERABLE,ANSWER: INSUFFICIENT_EVIDENCE,,False,True,False,CORRECT,True,False,CORRECT,,
False,False,True,True,32K,SEC,UNNECESSARY_ABSTENTION,,25,10,3.4778400102952234,2.8753479085862637,47.90%,47.9,"['R56B40CFAAF', 'RD05F499C85']","['SEC-0000320193-CostOfGoodsAndServicesSo-USD-CY2008-0001193125-10-238044-75b6ee2e', 'SEC-0000320193-CostOfGoodsAndServicesSo-USD-CY2007-0001193125-10-012091-a8a3cea9']",answerable_instance_unnecessary_abstention,False,32720,SEC_0014_32K,,,,False,47.9,INSUFFICIENT_EVIDENCE,,INSUFFICIENT_EVIDENCE,,12620071424,24538775552,"Using only the SEC XBRL company-facts records supplied in the context, calculate the year-over-year percentage change in Apple Inc.'s (CIK 0000320193) reported us-gaap:CostOfGoodsAndServicesSold from annual XBRL frame CY2007 to annual XBRL frame CY2008, both in USD. Use ((current - previous) / previous) * 100 and round to two decimal places.",SEC_0014,RETRIEVAL_CALCULATION,ANSWER: INSUFFICIENT_EVIDENCE,,False,False,False,UNNECESSARY_ABSTENTION,False,False,UNNECESSARY_ABSTENTION,,
True,True,True,True,4K,SEC,CORRECT,,26,11,32.58189654362679,0.33761079516261816,"81,770,000,000",81770000000.0,['R1ECF323D42'],['SEC-0000104169-CostOfRevenue-USD-CY2011Q2-0000104169-13-000011-eef68e4b'],answer_only_exact_match,False,4205,SEC_0018_4K,"{'canonical_record_id': 'SEC-0000104169-CostOfRevenue-USD-CY2011Q2-0000104169-13-000011-eef68e4b', 'display_id': 'R1ECF323D42', 'distractor_type': None, 'is_gold_or_equivalent': True, 'record_value': '81770000000.0'}",81770000000.0,,False,81770000000.0,81770000000.0,,81770000000.0,,7230997504,24538775552,"Using only the SEC XBRL company-facts records supplied in the context, what did WALMART INC. (CIK 0000104169) report for us-gaap:CostOfRevenue for the single quarterly XBRL frame CY2011Q2, in USD? Report the quarterly figure exactly.",SEC_0018,TEMPORAL_VERSION,ANSWER: 81770000000.0,,False,True,False,CORRECT,True,False,CORRECT,,
True,False,True,True,64K,FRED,WRONG_VERSION,,27,7,0.9031778460369894,7.750411539338529,"144,120",144120.0,['R6932521F27'],['FRED-PAYEMS-2021-03-01-2021-04-29-4117a714'],answer_matches_context_distractor_value,False,64949,FRED_0017_64K,"{'canonical_record_id': 'FRED-PAYEMS-2021-03-01-2023-09-28-eea436c4', 'display_id': 'R7B932E7ABE', 'distractor_type': 'WRONG_VERSION', 'is_gold_or_equivalent': False, 'record_value': '144328.0'}",144328.0,WRONG_VERSION,False,144120.0,144328.0,,144328,,18707310080,24538775552,"Using only the FRED/ALFRED records supplied in the context, what value did FRED series PAYEMS (""All Employees, Total Nonfarm""), measured in Thousands of Persons, seasonally adjusted, monthly frequency show for the observation dated 2021-03-01 **as of the vintage date 2021-04-29**? Report the value from that vintage exactly.",FRED_0017,TEMPORAL_VERSION,ANSWER: 144328,,False,False,False,WRONG_VERSION,False,False,WRONG_VERSION,,
True,True,True,True,32K,FDA,CORRECT,,28,7,2.4947279580136636,2.8059171652421355,100MG,100MG,['RDD82BB12F5'],['FDA-ANDA090428-003-strength-LOSARTAN-POTASSIUM-0-73ee1961'],answer_only_exact_match,False,32645,FDA_0008_32K,"{'canonical_record_id': 'FDA-ANDA090790-003-strength-LOSARTAN-POTASSIUM-0-24a9e319', 'display_id': 'RCDF47CC723', 'distractor_type': 'WRONG_ENTITY', 'is_gold_or_equivalent': False, 'record_value': '100MG'}",100MG,WRONG_ENTITY,False,100mg,100mg,,100MG,,12603147776,24538775552,"Using only the Drugs@FDA records supplied in the context, what is the listed strength of LOSARTAN POTASSIUM in product number 003 under FDA application ANDA090428 (dosage form TABLET, route ORAL)? Report the strength string exactly as recorded.",FDA_0008,ENTITY_UNIT_BINDING,ANSWER: 100MG,,False,True,False,CORRECT,True,False,CORRECT,,
