question_family_id,domain,question_type,answerable,gold_answer,gold_evidence_count,equivalence_group_count_82k,distractor_count_82k,rendered_tokens_82k,target_position_82k,checks
CT_0021,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,739,81719,,PASS
CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,44,1,1,753,81735,0.4997484878599384,PASS
CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,PLACEBO_COMPARATOR,1,1,711,81770,0.49995705205291185,PASS
CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,"3,998",2,2,750,81734,0.49978530505085206,PASS
CT_0022,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,751,81741,,PASS
CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,226,1,1,749,81727,0.4997238992784568,PASS
CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,EXPERIMENTAL,1,1,725,81697,0.5000798280626343,PASS
CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,"49,951",2,2,745,81719,0.5003619809561205,PASS
CT_0023,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,713,81793,,PASS
CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,38,1,1,734,81702,0.5001350472051367,PASS
CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,ACTIVE_COMPARATOR,1,1,713,81766,0.5004356469664245,PASS
CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,715,2,2,723,81732,0.4995457781924427,PASS
CT_0024,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,738,81730,,PASS
CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,388,1,1,748,81743,0.4989080692455863,PASS
CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,2018-04-25,1,1,735,81753,0.49959519632978006,PASS
CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,"1,230",2,2,747,81705,0.5004665782623643,PASS
CT_0025,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,740,81703,,PASS
CT_0026,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,39,1,1,752,81774,0.5004967984102451,PASS
CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,2021-03-02,1,1,730,81719,0.5003375558501497,PASS
CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,183,2,2,738,81776,0.4994602220450224,PASS
CT_0106,CLINICAL_TRIALS,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,742,81656,,PASS
CT_0027,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,140,1,1,741,81746,0.4993006134969325,PASS
FRED_0001,FRED,DIRECT_RETRIEVAL,True,"150,895",1,1,1018,81748,0.5000184060371802,PASS
FRED_0006,FRED,ENTITY_UNIT_BINDING,True,"149,952",1,1,1020,81754,0.49987731566678933,PASS
FRED_0010,FRED,RETRIEVAL_CALCULATION,True,0.21%,2,2,1017,81750,0.5001473332678519,PASS
FRED_0017,FRED,TEMPORAL_VERSION,True,"144,120",1,1,1019,81768,0.49961355857347906,PASS
FRED_0021,FRED,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,959,81799,,PASS
FRED_0002,FRED,DIRECT_RETRIEVAL,True,"23,425.910",1,1,1008,81798,0.5003127107731927,PASS
FRED_0007,FRED,ENTITY_UNIT_BINDING,True,3.260,1,1,1012,81765,0.5003925706013691,PASS
FRED_0011,FRED,RETRIEVAL_CALCULATION,True,-0.42%,2,2,957,81771,0.5001964105963517,PASS
FRED_0018,FRED,TEMPORAL_VERSION,True,256.192,1,1,960,81784,0.49958901252591675,PASS
FRED_0022,FRED,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,1021,81766,,PASS
FRED_0003,FRED,DIRECT_RETRIEVAL,True,298.786,1,1,959,81777,0.4994294898535077,PASS
FRED_0008,FRED,ENTITY_UNIT_BINDING,True,1.770,1,1,1008,81779,0.5001717285707277,PASS
FRED_0012,FRED,RETRIEVAL_CALCULATION,True,0.00%,2,2,1011,81756,0.5001166073401252,PASS
FRED_0019,FRED,TEMPORAL_VERSION,True,3.700,1,1,1042,81791,0.5004292319201383,PASS
FRED_0023,FRED,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,959,81795,,PASS
FRED_0004,FRED,DIRECT_RETRIEVAL,True,"20,985.448",1,1,1009,81770,0.49978530241688135,PASS
FRED_0009,FRED,ENTITY_UNIT_BINDING,True,"21,967.045",1,1,1008,81794,0.4999754736648476,PASS
FRED_0013,FRED,RETRIEVAL_CALCULATION,True,1.38,2,2,1006,81752,0.4998588333497005,PASS
FRED_0020,FRED,TEMPORAL_VERSION,True,"19,478.893",1,1,1006,81755,0.5003313168002159,PASS
FRED_0024,FRED,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,961,81775,,PASS
FRED_0005,FRED,DIRECT_RETRIEVAL,True,3.600,1,1,1044,81727,0.49992636139373337,PASS
FRED_0090,FRED,ENTITY_UNIT_BINDING,True,"15,658.400",1,1,1011,81730,0.4998159012248705,PASS
FRED_0014,FRED,RETRIEVAL_CALCULATION,True,-0.80,2,2,1023,81768,0.5,PASS
FRED_0074,FRED,TEMPORAL_VERSION,True,297.987,1,1,957,81746,0.5005584672222699,PASS
FRED_0025,FRED,UNANSWERABLE,False,INSUFFICIENT_EVIDENCE,0,0,1022,81793,,PASS
