instance_id,question_family_id,domain,question_type,context_length_label,context_tokens_actual,rendered_input_tokens_actual,prompt_overhead_tokens,generation_tokens_reserved,model_context_limit,remaining_context_margin,near_model_maximum,prompt_version,prompt_hash
SEC_0004_82K,SEC_0004,SEC,DIRECT_RETRIEVAL,82K,81418,81663,245,128,131072,137,True,llama_chat_v4,5d2869822989e19b
SEC_0005_4K,SEC_0005,SEC,DIRECT_RETRIEVAL,4K,3965,4216,251,128,131072,77584,False,llama_chat_v4,5d2869822989e19b
SEC_0005_8K,SEC_0005,SEC,DIRECT_RETRIEVAL,8K,8022,8273,251,128,131072,73527,False,llama_chat_v4,5d2869822989e19b
SEC_0005_16K,SEC_0005,SEC,DIRECT_RETRIEVAL,16K,16251,16502,251,128,131072,65298,False,llama_chat_v4,5d2869822989e19b
SEC_0005_32K,SEC_0005,SEC,DIRECT_RETRIEVAL,32K,32436,32687,251,128,131072,49113,False,llama_chat_v4,5d2869822989e19b
SEC_0005_64K,SEC_0005,SEC,DIRECT_RETRIEVAL,64K,65071,65322,251,128,131072,16478,False,llama_chat_v4,5d2869822989e19b
SEC_0005_82K,SEC_0005,SEC,DIRECT_RETRIEVAL,82K,81457,81708,251,128,131072,92,True,llama_chat_v4,5d2869822989e19b
SEC_0006_4K,SEC_0006,SEC,ENTITY_UNIT_BINDING,4K,4066,4311,245,128,131072,77489,False,llama_chat_v4,5d2869822989e19b
SEC_0006_8K,SEC_0006,SEC,ENTITY_UNIT_BINDING,8K,8113,8358,245,128,131072,73442,False,llama_chat_v4,5d2869822989e19b
SEC_0006_16K,SEC_0006,SEC,ENTITY_UNIT_BINDING,16K,16269,16514,245,128,131072,65286,False,llama_chat_v4,5d2869822989e19b
SEC_0006_32K,SEC_0006,SEC,ENTITY_UNIT_BINDING,32K,32533,32778,245,128,131072,49022,False,llama_chat_v4,5d2869822989e19b
SEC_0006_64K,SEC_0006,SEC,ENTITY_UNIT_BINDING,64K,65078,65323,245,128,131072,16477,False,llama_chat_v4,5d2869822989e19b
SEC_0006_82K,SEC_0006,SEC,ENTITY_UNIT_BINDING,82K,81463,81708,245,128,131072,92,True,llama_chat_v4,5d2869822989e19b
SEC_0007_4K,SEC_0007,SEC,ENTITY_UNIT_BINDING,4K,3971,4212,241,128,131072,77588,False,llama_chat_v4,5d2869822989e19b
SEC_0007_8K,SEC_0007,SEC,ENTITY_UNIT_BINDING,8K,8132,8373,241,128,131072,73427,False,llama_chat_v4,5d2869822989e19b
SEC_0007_16K,SEC_0007,SEC,ENTITY_UNIT_BINDING,16K,16184,16425,241,128,131072,65375,False,llama_chat_v4,5d2869822989e19b
SEC_0007_32K,SEC_0007,SEC,ENTITY_UNIT_BINDING,32K,32535,32776,241,128,131072,49024,False,llama_chat_v4,5d2869822989e19b
SEC_0007_64K,SEC_0007,SEC,ENTITY_UNIT_BINDING,64K,65073,65314,241,128,131072,16486,False,llama_chat_v4,5d2869822989e19b
SEC_0007_82K,SEC_0007,SEC,ENTITY_UNIT_BINDING,82K,81547,81788,241,128,131072,12,True,llama_chat_v4,5d2869822989e19b
SEC_0008_4K,SEC_0008,SEC,ENTITY_UNIT_BINDING,4K,4066,4311,245,128,131072,77489,False,llama_chat_v4,5d2869822989e19b
SEC_0008_8K,SEC_0008,SEC,ENTITY_UNIT_BINDING,8K,8084,8329,245,128,131072,73471,False,llama_chat_v4,5d2869822989e19b
SEC_0008_16K,SEC_0008,SEC,ENTITY_UNIT_BINDING,16K,16229,16474,245,128,131072,65326,False,llama_chat_v4,5d2869822989e19b
SEC_0008_32K,SEC_0008,SEC,ENTITY_UNIT_BINDING,32K,32541,32786,245,128,131072,49014,False,llama_chat_v4,5d2869822989e19b
SEC_0008_64K,SEC_0008,SEC,ENTITY_UNIT_BINDING,64K,64983,65228,245,128,131072,16572,False,llama_chat_v4,5d2869822989e19b
SEC_0008_82K,SEC_0008,SEC,ENTITY_UNIT_BINDING,82K,81444,81689,245,128,131072,111,True,llama_chat_v4,5d2869822989e19b
SEC_0009_4K,SEC_0009,SEC,RETRIEVAL_CALCULATION,4K,4044,4299,255,128,131072,77501,False,llama_chat_v4,5d2869822989e19b
SEC_0009_8K,SEC_0009,SEC,RETRIEVAL_CALCULATION,8K,8067,8322,255,128,131072,73478,False,llama_chat_v4,5d2869822989e19b
SEC_0009_16K,SEC_0009,SEC,RETRIEVAL_CALCULATION,16K,16186,16441,255,128,131072,65359,False,llama_chat_v4,5d2869822989e19b
SEC_0009_32K,SEC_0009,SEC,RETRIEVAL_CALCULATION,32K,32530,32785,255,128,131072,49015,False,llama_chat_v4,5d2869822989e19b
SEC_0009_64K,SEC_0009,SEC,RETRIEVAL_CALCULATION,64K,65053,65308,255,128,131072,16492,False,llama_chat_v4,5d2869822989e19b
SEC_0009_82K,SEC_0009,SEC,RETRIEVAL_CALCULATION,82K,81478,81733,255,128,131072,67,True,llama_chat_v4,5d2869822989e19b
SEC_0010_4K,SEC_0010,SEC,RETRIEVAL_CALCULATION,4K,4001,4254,253,128,131072,77546,False,llama_chat_v4,5d2869822989e19b
SEC_0010_8K,SEC_0010,SEC,RETRIEVAL_CALCULATION,8K,8134,8387,253,128,131072,73413,False,llama_chat_v4,5d2869822989e19b
SEC_0010_16K,SEC_0010,SEC,RETRIEVAL_CALCULATION,16K,16221,16474,253,128,131072,65326,False,llama_chat_v4,5d2869822989e19b
SEC_0010_32K,SEC_0010,SEC,RETRIEVAL_CALCULATION,32K,32436,32689,253,128,131072,49111,False,llama_chat_v4,5d2869822989e19b
SEC_0010_64K,SEC_0010,SEC,RETRIEVAL_CALCULATION,64K,65052,65305,253,128,131072,16495,False,llama_chat_v4,5d2869822989e19b
SEC_0010_82K,SEC_0010,SEC,RETRIEVAL_CALCULATION,82K,81501,81754,253,128,131072,46,True,llama_chat_v4,5d2869822989e19b
SEC_0011_4K,SEC_0011,SEC,RETRIEVAL_CALCULATION,4K,3964,4226,262,128,131072,77574,False,llama_chat_v4,5d2869822989e19b
SEC_0011_8K,SEC_0011,SEC,RETRIEVAL_CALCULATION,8K,8066,8328,262,128,131072,73472,False,llama_chat_v4,5d2869822989e19b
SEC_0011_16K,SEC_0011,SEC,RETRIEVAL_CALCULATION,16K,16208,16470,262,128,131072,65330,False,llama_chat_v4,5d2869822989e19b
SEC_0011_32K,SEC_0011,SEC,RETRIEVAL_CALCULATION,32K,32539,32801,262,128,131072,48999,False,llama_chat_v4,5d2869822989e19b
SEC_0011_64K,SEC_0011,SEC,RETRIEVAL_CALCULATION,64K,64996,65258,262,128,131072,16542,False,llama_chat_v4,5d2869822989e19b
SEC_0011_82K,SEC_0011,SEC,RETRIEVAL_CALCULATION,82K,81424,81686,262,128,131072,114,True,llama_chat_v4,5d2869822989e19b
SEC_0012_4K,SEC_0012,SEC,RETRIEVAL_CALCULATION,4K,3960,4215,255,128,131072,77585,False,llama_chat_v4,5d2869822989e19b
SEC_0012_8K,SEC_0012,SEC,RETRIEVAL_CALCULATION,8K,8134,8389,255,128,131072,73411,False,llama_chat_v4,5d2869822989e19b
SEC_0012_16K,SEC_0012,SEC,RETRIEVAL_CALCULATION,16K,16175,16430,255,128,131072,65370,False,llama_chat_v4,5d2869822989e19b
SEC_0012_32K,SEC_0012,SEC,RETRIEVAL_CALCULATION,32K,32488,32743,255,128,131072,49057,False,llama_chat_v4,5d2869822989e19b
SEC_0012_64K,SEC_0012,SEC,RETRIEVAL_CALCULATION,64K,65071,65326,255,128,131072,16474,False,llama_chat_v4,5d2869822989e19b
SEC_0012_82K,SEC_0012,SEC,RETRIEVAL_CALCULATION,82K,81461,81716,255,128,131072,84,True,llama_chat_v4,5d2869822989e19b
SEC_0013_4K,SEC_0013,SEC,RETRIEVAL_CALCULATION,4K,3964,4228,264,128,131072,77572,False,llama_chat_v4,5d2869822989e19b
SEC_0013_8K,SEC_0013,SEC,RETRIEVAL_CALCULATION,8K,8131,8395,264,128,131072,73405,False,llama_chat_v4,5d2869822989e19b
SEC_0013_16K,SEC_0013,SEC,RETRIEVAL_CALCULATION,16K,16260,16524,264,128,131072,65276,False,llama_chat_v4,5d2869822989e19b
SEC_0013_32K,SEC_0013,SEC,RETRIEVAL_CALCULATION,32K,32432,32696,264,128,131072,49104,False,llama_chat_v4,5d2869822989e19b
SEC_0013_64K,SEC_0013,SEC,RETRIEVAL_CALCULATION,64K,64979,65243,264,128,131072,16557,False,llama_chat_v4,5d2869822989e19b
SEC_0013_82K,SEC_0013,SEC,RETRIEVAL_CALCULATION,82K,81486,81750,264,128,131072,50,True,llama_chat_v4,5d2869822989e19b
SEC_0014_4K,SEC_0014,SEC,RETRIEVAL_CALCULATION,4K,4038,4303,265,128,131072,77497,False,llama_chat_v4,5d2869822989e19b
SEC_0014_8K,SEC_0014,SEC,RETRIEVAL_CALCULATION,8K,8056,8321,265,128,131072,73479,False,llama_chat_v4,5d2869822989e19b
SEC_0014_16K,SEC_0014,SEC,RETRIEVAL_CALCULATION,16K,16175,16440,265,128,131072,65360,False,llama_chat_v4,5d2869822989e19b
SEC_0014_32K,SEC_0014,SEC,RETRIEVAL_CALCULATION,32K,32482,32747,265,128,131072,49053,False,llama_chat_v4,5d2869822989e19b
SEC_0014_64K,SEC_0014,SEC,RETRIEVAL_CALCULATION,64K,65020,65285,265,128,131072,16515,False,llama_chat_v4,5d2869822989e19b
SEC_0014_82K,SEC_0014,SEC,RETRIEVAL_CALCULATION,82K,81461,81726,265,128,131072,74,True,llama_chat_v4,5d2869822989e19b
SEC_0015_4K,SEC_0015,SEC,RETRIEVAL_CALCULATION,4K,3992,4254,262,128,131072,77546,False,llama_chat_v4,5d2869822989e19b
SEC_0015_8K,SEC_0015,SEC,RETRIEVAL_CALCULATION,8K,8130,8392,262,128,131072,73408,False,llama_chat_v4,5d2869822989e19b
SEC_0015_16K,SEC_0015,SEC,RETRIEVAL_CALCULATION,16K,16202,16464,262,128,131072,65336,False,llama_chat_v4,5d2869822989e19b
SEC_0015_32K,SEC_0015,SEC,RETRIEVAL_CALCULATION,32K,32534,32796,262,128,131072,49004,False,llama_chat_v4,5d2869822989e19b
SEC_0015_64K,SEC_0015,SEC,RETRIEVAL_CALCULATION,64K,65065,65327,262,128,131072,16473,False,llama_chat_v4,5d2869822989e19b
SEC_0015_82K,SEC_0015,SEC,RETRIEVAL_CALCULATION,82K,81493,81755,262,128,131072,45,True,llama_chat_v4,5d2869822989e19b
SEC_0016_4K,SEC_0016,SEC,RETRIEVAL_CALCULATION,4K,4000,4267,267,128,131072,77533,False,llama_chat_v4,5d2869822989e19b
SEC_0016_8K,SEC_0016,SEC,RETRIEVAL_CALCULATION,8K,8032,8299,267,128,131072,73501,False,llama_chat_v4,5d2869822989e19b
SEC_0016_16K,SEC_0016,SEC,RETRIEVAL_CALCULATION,16K,16239,16506,267,128,131072,65294,False,llama_chat_v4,5d2869822989e19b
SEC_0016_32K,SEC_0016,SEC,RETRIEVAL_CALCULATION,32K,32475,32742,267,128,131072,49058,False,llama_chat_v4,5d2869822989e19b
SEC_0016_64K,SEC_0016,SEC,RETRIEVAL_CALCULATION,64K,65061,65328,267,128,131072,16472,False,llama_chat_v4,5d2869822989e19b
SEC_0016_82K,SEC_0016,SEC,RETRIEVAL_CALCULATION,82K,81414,81681,267,128,131072,119,True,llama_chat_v4,5d2869822989e19b
SEC_0017_4K,SEC_0017,SEC,TEMPORAL_VERSION,4K,3977,4222,245,128,131072,77578,False,llama_chat_v4,5d2869822989e19b
SEC_0017_8K,SEC_0017,SEC,TEMPORAL_VERSION,8K,8128,8373,245,128,131072,73427,False,llama_chat_v4,5d2869822989e19b
SEC_0017_16K,SEC_0017,SEC,TEMPORAL_VERSION,16K,16264,16509,245,128,131072,65291,False,llama_chat_v4,5d2869822989e19b
SEC_0017_32K,SEC_0017,SEC,TEMPORAL_VERSION,32K,32537,32782,245,128,131072,49018,False,llama_chat_v4,5d2869822989e19b
SEC_0017_64K,SEC_0017,SEC,TEMPORAL_VERSION,64K,65024,65269,245,128,131072,16531,False,llama_chat_v4,5d2869822989e19b
SEC_0017_82K,SEC_0017,SEC,TEMPORAL_VERSION,82K,81548,81793,245,128,131072,7,True,llama_chat_v4,5d2869822989e19b
SEC_0018_4K,SEC_0018,SEC,TEMPORAL_VERSION,4K,3967,4207,240,128,131072,77593,False,llama_chat_v4,5d2869822989e19b
SEC_0018_8K,SEC_0018,SEC,TEMPORAL_VERSION,8K,8037,8277,240,128,131072,73523,False,llama_chat_v4,5d2869822989e19b
SEC_0018_16K,SEC_0018,SEC,TEMPORAL_VERSION,16K,16161,16401,240,128,131072,65399,False,llama_chat_v4,5d2869822989e19b
SEC_0018_32K,SEC_0018,SEC,TEMPORAL_VERSION,32K,32534,32774,240,128,131072,49026,False,llama_chat_v4,5d2869822989e19b
SEC_0018_64K,SEC_0018,SEC,TEMPORAL_VERSION,64K,65062,65302,240,128,131072,16498,False,llama_chat_v4,5d2869822989e19b
SEC_0018_82K,SEC_0018,SEC,TEMPORAL_VERSION,82K,81478,81718,240,128,131072,82,True,llama_chat_v4,5d2869822989e19b
SEC_0019_4K,SEC_0019,SEC,TEMPORAL_VERSION,4K,4065,4348,283,128,131072,77452,False,llama_chat_v4,5d2869822989e19b
SEC_0019_8K,SEC_0019,SEC,TEMPORAL_VERSION,8K,8060,8343,283,128,131072,73457,False,llama_chat_v4,5d2869822989e19b
SEC_0019_16K,SEC_0019,SEC,TEMPORAL_VERSION,16K,16200,16483,283,128,131072,65317,False,llama_chat_v4,5d2869822989e19b
SEC_0019_32K,SEC_0019,SEC,TEMPORAL_VERSION,32K,32532,32815,283,128,131072,48985,False,llama_chat_v4,5d2869822989e19b
SEC_0019_64K,SEC_0019,SEC,TEMPORAL_VERSION,64K,65001,65284,283,128,131072,16516,False,llama_chat_v4,5d2869822989e19b
SEC_0019_82K,SEC_0019,SEC,TEMPORAL_VERSION,82K,81422,81705,283,128,131072,95,True,llama_chat_v4,5d2869822989e19b
SEC_0020_4K,SEC_0020,SEC,TEMPORAL_VERSION,4K,4067,4357,290,128,131072,77443,False,llama_chat_v4,5d2869822989e19b
SEC_0020_8K,SEC_0020,SEC,TEMPORAL_VERSION,8K,8136,8426,290,128,131072,73374,False,llama_chat_v4,5d2869822989e19b
SEC_0020_16K,SEC_0020,SEC,TEMPORAL_VERSION,16K,16206,16496,290,128,131072,65304,False,llama_chat_v4,5d2869822989e19b
SEC_0020_32K,SEC_0020,SEC,TEMPORAL_VERSION,32K,32546,32836,290,128,131072,48964,False,llama_chat_v4,5d2869822989e19b
SEC_0020_64K,SEC_0020,SEC,TEMPORAL_VERSION,64K,65055,65345,290,128,131072,16455,False,llama_chat_v4,5d2869822989e19b
SEC_0020_82K,SEC_0020,SEC,TEMPORAL_VERSION,82K,81442,81732,290,128,131072,68,True,llama_chat_v4,5d2869822989e19b
SEC_0021_4K,SEC_0021,SEC,UNANSWERABLE,4K,4041,4289,248,128,131072,77511,False,llama_chat_v4,5d2869822989e19b
SEC_0021_8K,SEC_0021,SEC,UNANSWERABLE,8K,8128,8376,248,128,131072,73424,False,llama_chat_v4,5d2869822989e19b
SEC_0021_16K,SEC_0021,SEC,UNANSWERABLE,16K,16169,16417,248,128,131072,65383,False,llama_chat_v4,5d2869822989e19b
SEC_0021_32K,SEC_0021,SEC,UNANSWERABLE,32K,32475,32723,248,128,131072,49077,False,llama_chat_v4,5d2869822989e19b
SEC_0021_64K,SEC_0021,SEC,UNANSWERABLE,64K,64980,65228,248,128,131072,16572,False,llama_chat_v4,5d2869822989e19b
SEC_0021_82K,SEC_0021,SEC,UNANSWERABLE,82K,81482,81730,248,128,131072,70,True,llama_chat_v4,5d2869822989e19b
SEC_0022_4K,SEC_0022,SEC,UNANSWERABLE,4K,3985,4234,249,128,131072,77566,False,llama_chat_v4,5d2869822989e19b
SEC_0022_8K,SEC_0022,SEC,UNANSWERABLE,8K,8035,8284,249,128,131072,73516,False,llama_chat_v4,5d2869822989e19b
SEC_0022_16K,SEC_0022,SEC,UNANSWERABLE,16K,16160,16409,249,128,131072,65391,False,llama_chat_v4,5d2869822989e19b
SEC_0022_32K,SEC_0022,SEC,UNANSWERABLE,32K,32510,32759,249,128,131072,49041,False,llama_chat_v4,5d2869822989e19b
SEC_0022_64K,SEC_0022,SEC,UNANSWERABLE,64K,65048,65297,249,128,131072,16503,False,llama_chat_v4,5d2869822989e19b
SEC_0022_82K,SEC_0022,SEC,UNANSWERABLE,82K,81506,81755,249,128,131072,45,True,llama_chat_v4,5d2869822989e19b
SEC_0023_4K,SEC_0023,SEC,UNANSWERABLE,4K,4018,4258,240,128,131072,77542,False,llama_chat_v4,5d2869822989e19b
SEC_0023_8K,SEC_0023,SEC,UNANSWERABLE,8K,8132,8372,240,128,131072,73428,False,llama_chat_v4,5d2869822989e19b
SEC_0023_16K,SEC_0023,SEC,UNANSWERABLE,16K,16260,16500,240,128,131072,65300,False,llama_chat_v4,5d2869822989e19b
SEC_0023_32K,SEC_0023,SEC,UNANSWERABLE,32K,32471,32711,240,128,131072,49089,False,llama_chat_v4,5d2869822989e19b
SEC_0023_64K,SEC_0023,SEC,UNANSWERABLE,64K,65078,65318,240,128,131072,16482,False,llama_chat_v4,5d2869822989e19b
SEC_0023_82K,SEC_0023,SEC,UNANSWERABLE,82K,81543,81783,240,128,131072,17,True,llama_chat_v4,5d2869822989e19b
SEC_0024_4K,SEC_0024,SEC,UNANSWERABLE,4K,4050,4284,234,128,131072,77516,False,llama_chat_v4,5d2869822989e19b
SEC_0024_8K,SEC_0024,SEC,UNANSWERABLE,8K,8051,8285,234,128,131072,73515,False,llama_chat_v4,5d2869822989e19b
SEC_0024_16K,SEC_0024,SEC,UNANSWERABLE,16K,16237,16471,234,128,131072,65329,False,llama_chat_v4,5d2869822989e19b
SEC_0024_32K,SEC_0024,SEC,UNANSWERABLE,32K,32460,32694,234,128,131072,49106,False,llama_chat_v4,5d2869822989e19b
SEC_0024_64K,SEC_0024,SEC,UNANSWERABLE,64K,65067,65301,234,128,131072,16499,False,llama_chat_v4,5d2869822989e19b
SEC_0024_82K,SEC_0024,SEC,UNANSWERABLE,82K,81545,81779,234,128,131072,21,True,llama_chat_v4,5d2869822989e19b
SEC_0025_4K,SEC_0025,SEC,UNANSWERABLE,4K,4054,4288,234,128,131072,77512,False,llama_chat_v4,5d2869822989e19b
SEC_0025_8K,SEC_0025,SEC,UNANSWERABLE,8K,8093,8327,234,128,131072,73473,False,llama_chat_v4,5d2869822989e19b
SEC_0025_16K,SEC_0025,SEC,UNANSWERABLE,16K,16170,16404,234,128,131072,65396,False,llama_chat_v4,5d2869822989e19b
SEC_0025_32K,SEC_0025,SEC,UNANSWERABLE,32K,32517,32751,234,128,131072,49049,False,llama_chat_v4,5d2869822989e19b
SEC_0025_64K,SEC_0025,SEC,UNANSWERABLE,64K,65065,65299,234,128,131072,16501,False,llama_chat_v4,5d2869822989e19b
SEC_0025_82K,SEC_0025,SEC,UNANSWERABLE,82K,81473,81707,234,128,131072,93,True,llama_chat_v4,5d2869822989e19b
SEC_0026_4K,SEC_0026,SEC,DIRECT_RETRIEVAL,4K,3982,4257,275,128,131072,77543,False,llama_chat_v4,5d2869822989e19b
SEC_0026_8K,SEC_0026,SEC,DIRECT_RETRIEVAL,8K,8105,8380,275,128,131072,73420,False,llama_chat_v4,5d2869822989e19b
SEC_0026_16K,SEC_0026,SEC,DIRECT_RETRIEVAL,16K,16181,16456,275,128,131072,65344,False,llama_chat_v4,5d2869822989e19b
SEC_0026_32K,SEC_0026,SEC,DIRECT_RETRIEVAL,32K,32498,32773,275,128,131072,49027,False,llama_chat_v4,5d2869822989e19b
SEC_0026_64K,SEC_0026,SEC,DIRECT_RETRIEVAL,64K,65092,65367,275,128,131072,16433,False,llama_chat_v4,5d2869822989e19b
SEC_0026_82K,SEC_0026,SEC,DIRECT_RETRIEVAL,82K,81467,81742,275,128,131072,58,True,llama_chat_v4,5d2869822989e19b
SEC_0027_4K,SEC_0027,SEC,DIRECT_RETRIEVAL,4K,3963,4212,249,128,131072,77588,False,llama_chat_v4,5d2869822989e19b
SEC_0027_8K,SEC_0027,SEC,DIRECT_RETRIEVAL,8K,8117,8366,249,128,131072,73434,False,llama_chat_v4,5d2869822989e19b
SEC_0027_16K,SEC_0027,SEC,DIRECT_RETRIEVAL,16K,16262,16511,249,128,131072,65289,False,llama_chat_v4,5d2869822989e19b
SEC_0027_32K,SEC_0027,SEC,DIRECT_RETRIEVAL,32K,32487,32736,249,128,131072,49064,False,llama_chat_v4,5d2869822989e19b
SEC_0027_64K,SEC_0027,SEC,DIRECT_RETRIEVAL,64K,64974,65223,249,128,131072,16577,False,llama_chat_v4,5d2869822989e19b
SEC_0027_82K,SEC_0027,SEC,DIRECT_RETRIEVAL,82K,81511,81760,249,128,131072,40,True,llama_chat_v4,5d2869822989e19b
SEC_0028_4K,SEC_0028,SEC,DIRECT_RETRIEVAL,4K,3995,4245,250,128,131072,77555,False,llama_chat_v4,5d2869822989e19b
SEC_0028_8K,SEC_0028,SEC,DIRECT_RETRIEVAL,8K,8028,8278,250,128,131072,73522,False,llama_chat_v4,5d2869822989e19b
SEC_0028_16K,SEC_0028,SEC,DIRECT_RETRIEVAL,16K,16184,16434,250,128,131072,65366,False,llama_chat_v4,5d2869822989e19b
SEC_0028_32K,SEC_0028,SEC,DIRECT_RETRIEVAL,32K,32536,32786,250,128,131072,49014,False,llama_chat_v4,5d2869822989e19b
SEC_0028_64K,SEC_0028,SEC,DIRECT_RETRIEVAL,64K,65035,65285,250,128,131072,16515,False,llama_chat_v4,5d2869822989e19b
SEC_0028_82K,SEC_0028,SEC,DIRECT_RETRIEVAL,82K,81421,81671,250,128,131072,129,True,llama_chat_v4,5d2869822989e19b
SEC_0029_4K,SEC_0029,SEC,DIRECT_RETRIEVAL,4K,4067,4319,252,128,131072,77481,False,llama_chat_v4,5d2869822989e19b
SEC_0029_8K,SEC_0029,SEC,DIRECT_RETRIEVAL,8K,8134,8386,252,128,131072,73414,False,llama_chat_v4,5d2869822989e19b
SEC_0029_16K,SEC_0029,SEC,DIRECT_RETRIEVAL,16K,16169,16421,252,128,131072,65379,False,llama_chat_v4,5d2869822989e19b
SEC_0029_32K,SEC_0029,SEC,DIRECT_RETRIEVAL,32K,32471,32723,252,128,131072,49077,False,llama_chat_v4,5d2869822989e19b
SEC_0029_64K,SEC_0029,SEC,DIRECT_RETRIEVAL,64K,65044,65296,252,128,131072,16504,False,llama_chat_v4,5d2869822989e19b
SEC_0029_82K,SEC_0029,SEC,DIRECT_RETRIEVAL,82K,81481,81733,252,128,131072,67,True,llama_chat_v4,5d2869822989e19b
SEC_0030_4K,SEC_0030,SEC,DIRECT_RETRIEVAL,4K,4029,4287,258,128,131072,77513,False,llama_chat_v4,5d2869822989e19b
SEC_0030_8K,SEC_0030,SEC,DIRECT_RETRIEVAL,8K,8121,8379,258,128,131072,73421,False,llama_chat_v4,5d2869822989e19b
SEC_0030_16K,SEC_0030,SEC,DIRECT_RETRIEVAL,16K,16220,16478,258,128,131072,65322,False,llama_chat_v4,5d2869822989e19b
SEC_0030_32K,SEC_0030,SEC,DIRECT_RETRIEVAL,32K,32470,32728,258,128,131072,49072,False,llama_chat_v4,5d2869822989e19b
SEC_0030_64K,SEC_0030,SEC,DIRECT_RETRIEVAL,64K,65083,65341,258,128,131072,16459,False,llama_chat_v4,5d2869822989e19b
SEC_0030_82K,SEC_0030,SEC,DIRECT_RETRIEVAL,82K,81413,81671,258,128,131072,129,True,llama_chat_v4,5d2869822989e19b
SEC_0031_4K,SEC_0031,SEC,DIRECT_RETRIEVAL,4K,3978,4232,254,128,131072,77568,False,llama_chat_v4,5d2869822989e19b
SEC_0031_8K,SEC_0031,SEC,DIRECT_RETRIEVAL,8K,8039,8293,254,128,131072,73507,False,llama_chat_v4,5d2869822989e19b
SEC_0031_16K,SEC_0031,SEC,DIRECT_RETRIEVAL,16K,16269,16523,254,128,131072,65277,False,llama_chat_v4,5d2869822989e19b
