model,model_label,instance_id,question_family_id,context_length_label,domain,question_type,answer_correct,accurate,inaccurate,input_tokens,context_log2
llama32_3b,Llama-3.2-3B-Instruct,FDA_0042_16K,FDA_0042,16K,FDA,DIRECT_RETRIEVAL,True,1,0,16397,14.00114426262254
llama32_3b,Llama-3.2-3B-Instruct,CT_0027_8K,CT_0027,8K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,8296,13.018200178813226
llama32_3b,Llama-3.2-3B-Instruct,SEC_0072_4K,SEC_0072,4K,SEC,RETRIEVAL_CALCULATION,False,0,1,4245,12.0515488384404
llama32_3b,Llama-3.2-3B-Instruct,CT_0070_4K,CT_0070,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,4297,12.069114061773938
llama32_3b,Llama-3.2-3B-Instruct,FDA_0008_32K,FDA_0008,32K,FDA,ENTITY_UNIT_BINDING,True,1,0,32628,14.993822936745916
llama32_3b,Llama-3.2-3B-Instruct,FRED_0098_8K,FRED_0098,8K,FRED,ENTITY_UNIT_BINDING,True,1,0,8310,13.020632761657707
llama32_3b,Llama-3.2-3B-Instruct,FRED_0010_64K,FRED_0010,64K,FRED,RETRIEVAL_CALCULATION,False,0,1,64981,15.987730325185758
llama32_3b,Llama-3.2-3B-Instruct,SEC_0013_16K,SEC_0013,16K,SEC,RETRIEVAL_CALCULATION,False,0,1,16524,14.01227534485612
llama32_3b,Llama-3.2-3B-Instruct,FRED_0051_16K,FRED_0051,16K,FRED,RETRIEVAL_CALCULATION,False,0,1,16434,14.004396051426534
llama32_3b,Llama-3.2-3B-Instruct,FDA_0101_64K,FDA_0101,64K,FDA,ENTITY_UNIT_BINDING,False,0,1,65079,15.989904462364976
llama32_3b,Llama-3.2-3B-Instruct,SEC_0050_4K,SEC_0050,4K,SEC,RETRIEVAL_CALCULATION,False,0,1,4335,12.081816278109198
llama32_3b,Llama-3.2-3B-Instruct,CT_0107_4K,CT_0107,4K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,4291,12.067098185748385
llama32_3b,Llama-3.2-3B-Instruct,CT_0102_64K,CT_0102,64K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,65226,15.993159537166061
llama32_3b,Llama-3.2-3B-Instruct,FRED_0091_16K,FRED_0091,16K,FRED,ENTITY_UNIT_BINDING,True,1,0,16424,14.003517912108602
llama32_3b,Llama-3.2-3B-Instruct,CT_0048_4K,CT_0048,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,1,0,4279,12.06305796362349
llama32_3b,Llama-3.2-3B-Instruct,SEC_0011_32K,SEC_0011,32K,SEC,RETRIEVAL_CALCULATION,False,0,1,32801,15.00145217832723
llama32_3b,Llama-3.2-3B-Instruct,FDA_0002_8K,FDA_0002,8K,FDA,DIRECT_RETRIEVAL,True,1,0,8296,13.018200178813226
llama32_3b,Llama-3.2-3B-Instruct,CT_0083_16K,CT_0083,16K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,16485,14.00886626655775
llama32_3b,Llama-3.2-3B-Instruct,CT_0013_4K,CT_0013,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,4329,12.079818085212354
llama32_3b,Llama-3.2-3B-Instruct,CT_0041_32K,CT_0041,32K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,False,0,1,32709,14.997400032669495
llama32_3b,Llama-3.2-3B-Instruct,FDA_0041_4K,FDA_0041,4K,FDA,DIRECT_RETRIEVAL,True,1,0,4292,12.067434360756522
llama32_3b,Llama-3.2-3B-Instruct,SEC_0113_16K,SEC_0113,16K,SEC,UNANSWERABLE,True,1,0,16401,14.00149616092074
llama32_3b,Llama-3.2-3B-Instruct,SEC_0111_64K,SEC_0111,64K,SEC,UNANSWERABLE,False,0,1,65299,15.994773277812921
llama32_3b,Llama-3.2-3B-Instruct,FRED_0068_4K,FRED_0068,4K,FRED,RETRIEVAL_CALCULATION,False,0,1,4282,12.06406908038551
llama32_3b,Llama-3.2-3B-Instruct,CT_0106_64K,CT_0106,64K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,65168,15.991876099003415
llama32_3b,Llama-3.2-3B-Instruct,FRED_0067_16K,FRED_0067,16K,FRED,RETRIEVAL_CALCULATION,False,0,1,16408,14.002111776479852
llama32_3b,Llama-3.2-3B-Instruct,SEC_0117_16K,SEC_0117,16K,SEC,UNANSWERABLE,True,1,0,16471,14.007640527281902
llama32_3b,Llama-3.2-3B-Instruct,FDA_0033_8K,FDA_0033,8K,FDA,DIRECT_RETRIEVAL,False,0,1,8329,13.02392757717438
llama32_3b,Llama-3.2-3B-Instruct,CT_0112_64K,CT_0112,64K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,65097,15.990303437765995
llama32_3b,Llama-3.2-3B-Instruct,SEC_0014_16K,SEC_0014,16K,SEC,RETRIEVAL_CALCULATION,False,0,1,16440,14.004922678569045
llama32_3b,Llama-3.2-3B-Instruct,CT_0071_82K,CT_0071,82K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,81751,16.318948757697992
llama32_3b,Llama-3.2-3B-Instruct,CT_0119_32K,CT_0119,32K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,32696,14.996826528020659
llama32_3b,Llama-3.2-3B-Instruct,CT_0068_64K,CT_0068,64K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,65194,15.992451574549364
llama32_3b,Llama-3.2-3B-Instruct,FDA_0056_8K,FDA_0056,8K,FDA,RETRIEVAL_CALCULATION,False,0,1,8324,13.023061249735335
llama32_3b,Llama-3.2-3B-Instruct,CT_0067_16K,CT_0067,16K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,16510,14.01105249980062
llama32_3b,Llama-3.2-3B-Instruct,CT_0021_64K,CT_0021,64K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,65166,15.991831822144238
llama32_3b,Llama-3.2-3B-Instruct,FDA_0105_16K,FDA_0105,16K,FDA,ENTITY_UNIT_BINDING,False,0,1,16456,14.006326078524934
llama32_3b,Llama-3.2-3B-Instruct,FDA_0081_32K,FDA_0081,32K,FDA,TEMPORAL_VERSION,False,0,1,32640,14.994353436858859
llama32_3b,Llama-3.2-3B-Instruct,FRED_0115_32K,FRED_0115,32K,FRED,UNANSWERABLE,False,0,1,32580,14.99169898341288
llama32_3b,Llama-3.2-3B-Instruct,FRED_0089_82K,FRED_0089,82K,FRED,TEMPORAL_VERSION,False,0,1,81750,16.318931110160168
llama32_3b,Llama-3.2-3B-Instruct,FDA_0099_32K,FDA_0099,32K,FDA,ENTITY_UNIT_BINDING,True,1,0,32610,14.993026820635828
llama32_3b,Llama-3.2-3B-Instruct,FDA_0081_64K,FDA_0081,64K,FDA,TEMPORAL_VERSION,False,0,1,65064,15.989571898558868
llama32_3b,Llama-3.2-3B-Instruct,CT_0004_4K,CT_0004,4K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,4253,12.054265139625764
llama32_3b,Llama-3.2-3B-Instruct,CT_0114_32K,CT_0114,32K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,32663,14.99536968380961
llama32_3b,Llama-3.2-3B-Instruct,SEC_0096_64K,SEC_0096,64K,SEC,ENTITY_UNIT_BINDING,False,0,1,65276,15.994265033718973
llama32_3b,Llama-3.2-3B-Instruct,FDA_0086_16K,FDA_0086,16K,FDA,TEMPORAL_VERSION,True,1,0,16413,14.002551341103736
llama32_3b,Llama-3.2-3B-Instruct,CT_0005_64K,CT_0005,64K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,65161,15.991721124050857
llama32_3b,Llama-3.2-3B-Instruct,CT_0102_82K,CT_0102,82K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,81757,16.319054638391897
llama32_3b,Llama-3.2-3B-Instruct,SEC_0109_64K,SEC_0109,64K,SEC,UNANSWERABLE,False,0,1,65252,15.993734501091927
llama32_3b,Llama-3.2-3B-Instruct,SEC_0091_82K,SEC_0091,82K,SEC,TEMPORAL_VERSION,False,0,1,81800,16.319813222716473
llama32_3b,Llama-3.2-3B-Instruct,FDA_0119_82K,FDA_0119,82K,FDA,UNANSWERABLE,False,0,1,81737,16.318701672522057
llama32_3b,Llama-3.2-3B-Instruct,FDA_0005_32K,FDA_0005,32K,FDA,DIRECT_RETRIEVAL,True,1,0,32634,14.99408821118647
llama32_3b,Llama-3.2-3B-Instruct,CT_0063_32K,CT_0063,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,32763,14.999779845410005
llama32_3b,Llama-3.2-3B-Instruct,FDA_0040_8K,FDA_0040,8K,FDA,DIRECT_RETRIEVAL,True,1,0,8303,13.019416982944184
llama32_3b,Llama-3.2-3B-Instruct,CT_0125_64K,CT_0125,64K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,65242,15.993513388237128
llama32_3b,Llama-3.2-3B-Instruct,SEC_0039_32K,SEC_0039,32K,SEC,DIRECT_RETRIEVAL,False,0,1,32732,14.998414136589261
llama32_3b,Llama-3.2-3B-Instruct,SEC_0028_4K,SEC_0028,4K,SEC,DIRECT_RETRIEVAL,False,0,1,4245,12.0515488384404
llama32_3b,Llama-3.2-3B-Instruct,FDA_0005_82K,FDA_0005,82K,FDA,DIRECT_RETRIEVAL,False,0,1,81775,16.319372233857504
llama32_3b,Llama-3.2-3B-Instruct,SEC_0025_8K,SEC_0025,8K,SEC,UNANSWERABLE,True,1,0,8327,13.023581108623029
llama32_3b,Llama-3.2-3B-Instruct,SEC_0040_64K,SEC_0040,64K,SEC,DIRECT_RETRIEVAL,False,0,1,65234,15.993336473550265
llama32_3b,Llama-3.2-3B-Instruct,CT_0117_8K,CT_0117,8K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,8341,13.026004642978943
llama32_3b,Llama-3.2-3B-Instruct,CT_0038_64K,CT_0038,64K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,65109,15.990569360082013
llama32_3b,Llama-3.2-3B-Instruct,SEC_0095_16K,SEC_0095,16K,SEC,ENTITY_UNIT_BINDING,False,0,1,16420,14.003166506665167
llama32_3b,Llama-3.2-3B-Instruct,FDA_0088_32K,FDA_0088,32K,FDA,TEMPORAL_VERSION,False,0,1,32642,14.99444183458205
llama32_3b,Llama-3.2-3B-Instruct,SEC_0121_82K,SEC_0121,82K,SEC,UNANSWERABLE,False,0,1,81704,16.318119089975497
llama32_3b,Llama-3.2-3B-Instruct,CT_0103_82K,CT_0103,82K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,False,0,1,81737,16.318701672522057
llama32_3b,Llama-3.2-3B-Instruct,FRED_0094_64K,FRED_0094,64K,FRED,ENTITY_UNIT_BINDING,False,0,1,64964,15.987352845239087
llama32_3b,Llama-3.2-3B-Instruct,CT_0066_32K,CT_0066,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,32667,14.995546349359
llama32_3b,Llama-3.2-3B-Instruct,SEC_0007_4K,SEC_0007,4K,SEC,ENTITY_UNIT_BINDING,False,0,1,4212,12.040289721025717
llama32_3b,Llama-3.2-3B-Instruct,FDA_0125_64K,FDA_0125,64K,FDA,UNANSWERABLE,False,0,1,65066,15.989616244829243
llama32_3b,Llama-3.2-3B-Instruct,FRED_0107_16K,FRED_0107,16K,FRED,UNANSWERABLE,False,0,1,16383,13.99991194219542
llama32_3b,Llama-3.2-3B-Instruct,SEC_0123_4K,SEC_0123,4K,SEC,UNANSWERABLE,True,1,0,4278,12.062720767165045
llama32_3b,Llama-3.2-3B-Instruct,FRED_0076_32K,FRED_0076,32K,FRED,TEMPORAL_VERSION,False,0,1,32552,14.99045856507371
llama32_3b,Llama-3.2-3B-Instruct,FRED_0123_16K,FRED_0123,16K,FRED,UNANSWERABLE,False,0,1,16404,14.001760028327217
llama32_3b,Llama-3.2-3B-Instruct,FRED_0040_82K,FRED_0040,82K,FRED,DIRECT_RETRIEVAL,False,0,1,81775,16.319372233857504
llama32_3b,Llama-3.2-3B-Instruct,FRED_0112_16K,FRED_0112,16K,FRED,UNANSWERABLE,True,1,0,16370,13.998766701361516
llama32_3b,Llama-3.2-3B-Instruct,CT_0058_8K,CT_0058,8K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,8307,13.020111839088086
llama32_3b,Llama-3.2-3B-Instruct,FRED_0070_16K,FRED_0070,16K,FRED,RETRIEVAL_CALCULATION,False,0,1,16444,14.005273656563938
llama32_3b,Llama-3.2-3B-Instruct,FRED_0028_4K,FRED_0028,4K,FRED,DIRECT_RETRIEVAL,False,0,1,4297,12.069114061773938
llama32_3b,Llama-3.2-3B-Instruct,SEC_0032_64K,SEC_0032,64K,SEC,DIRECT_RETRIEVAL,False,0,1,65327,15.995391768186408
llama32_3b,Llama-3.2-3B-Instruct,FRED_0039_16K,FRED_0039,16K,FRED,DIRECT_RETRIEVAL,False,0,1,16461,14.00676436119103
llama32_3b,Llama-3.2-3B-Instruct,FRED_0125_64K,FRED_0125,64K,FRED,UNANSWERABLE,False,0,1,64963,15.987330637460245
llama32_3b,Llama-3.2-3B-Instruct,SEC_0004_16K,SEC_0004,16K,SEC,DIRECT_RETRIEVAL,True,1,0,16480,14.00842862207058
llama32_3b,Llama-3.2-3B-Instruct,SEC_0041_82K,SEC_0041,82K,SEC,DIRECT_RETRIEVAL,True,1,0,81700,16.31804845792041
llama32_3b,Llama-3.2-3B-Instruct,CT_0013_32K,CT_0013,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,32741,14.998810765900574
llama32_3b,Llama-3.2-3B-Instruct,FDA_0068_32K,FDA_0068,32K,FDA,RETRIEVAL_CALCULATION,False,0,1,32709,14.997400032669495
llama32_3b,Llama-3.2-3B-Instruct,FRED_0027_8K,FRED_0027,8K,FRED,DIRECT_RETRIEVAL,False,0,1,8322,13.022714573044759
llama32_3b,Llama-3.2-3B-Instruct,FRED_0084_64K,FRED_0084,64K,FRED,TEMPORAL_VERSION,False,0,1,64970,15.987486084733778
llama32_3b,Llama-3.2-3B-Instruct,FRED_0061_16K,FRED_0061,16K,FRED,RETRIEVAL_CALCULATION,False,0,1,16483,14.008691224693802
llama32_3b,Llama-3.2-3B-Instruct,SEC_0083_64K,SEC_0083,64K,SEC,TEMPORAL_VERSION,False,0,1,65305,15.994905833787492
llama32_3b,Llama-3.2-3B-Instruct,CT_0096_4K,CT_0096,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,4290,12.066761932386909
llama32_3b,Llama-3.2-3B-Instruct,FDA_0069_8K,FDA_0069,8K,FDA,RETRIEVAL_CALCULATION,False,0,1,8324,13.023061249735335
llama32_3b,Llama-3.2-3B-Instruct,CT_0002_16K,CT_0002,16K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,16398,14.001232245244363
llama32_3b,Llama-3.2-3B-Instruct,SEC_0033_16K,SEC_0033,16K,SEC,DIRECT_RETRIEVAL,False,0,1,16504,14.010528105886484
llama32_3b,Llama-3.2-3B-Instruct,SEC_0023_32K,SEC_0023,32K,SEC,UNANSWERABLE,False,0,1,32711,14.997488243922403
llama32_3b,Llama-3.2-3B-Instruct,FRED_0107_82K,FRED_0107,82K,FRED,UNANSWERABLE,False,0,1,81782,16.319495724326178
llama32_3b,Llama-3.2-3B-Instruct,FDA_0114_16K,FDA_0114,16K,FDA,UNANSWERABLE,False,0,1,16372,13.998942951443086
llama32_3b,Llama-3.2-3B-Instruct,CT_0034_16K,CT_0034,16K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,16387,14.000264141169616
llama32_3b,Llama-3.2-3B-Instruct,CT_0065_16K,CT_0065,16K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,16461,14.00676436119103
llama32_3b,Llama-3.2-3B-Instruct,SEC_0076_64K,SEC_0076,64K,SEC,RETRIEVAL_CALCULATION,False,0,1,65300,15.994795371321155
llama32_3b,Llama-3.2-3B-Instruct,FRED_0116_32K,FRED_0116,32K,FRED,UNANSWERABLE,False,0,1,32562,14.990901694063554
llama32_3b,Llama-3.2-3B-Instruct,CT_0031_8K,CT_0031,8K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,8337,13.025312619921719
llama32_3b,Llama-3.2-3B-Instruct,CT_0082_32K,CT_0082,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,32633,14.994044002166873
llama32_3b,Llama-3.2-3B-Instruct,FRED_0054_64K,FRED_0054,64K,FRED,RETRIEVAL_CALCULATION,False,0,1,65022,15.988640311857413
llama32_3b,Llama-3.2-3B-Instruct,FRED_0114_8K,FRED_0114,8K,FRED,UNANSWERABLE,True,1,0,8288,13.016808287686555
llama32_3b,Llama-3.2-3B-Instruct,FRED_0024_32K,FRED_0024,32K,FRED,UNANSWERABLE,True,1,0,32564,14.990990303530822
llama32_3b,Llama-3.2-3B-Instruct,FRED_0099_32K,FRED_0099,32K,FRED,ENTITY_UNIT_BINDING,True,1,0,32558,14.990724458800322
llama32_3b,Llama-3.2-3B-Instruct,FRED_0111_16K,FRED_0111,16K,FRED,UNANSWERABLE,True,1,0,16368,13.99859042974533
llama32_3b,Llama-3.2-3B-Instruct,SEC_0105_16K,SEC_0105,16K,SEC,ENTITY_UNIT_BINDING,False,0,1,16512,14.011227255423254
llama32_3b,Llama-3.2-3B-Instruct,FDA_0031_82K,FDA_0031,82K,FDA,DIRECT_RETRIEVAL,True,1,0,81698,16.31801314059606
llama32_3b,Llama-3.2-3B-Instruct,CT_0049_82K,CT_0049,82K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,81730,16.318578114063257
llama32_3b,Llama-3.2-3B-Instruct,CT_0095_64K,CT_0095,64K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,False,0,1,65198,15.992540088877933
llama32_3b,Llama-3.2-3B-Instruct,SEC_0068_8K,SEC_0068,8K,SEC,RETRIEVAL_CALCULATION,False,0,1,8402,13.036517070486518
llama32_3b,Llama-3.2-3B-Instruct,FDA_0092_4K,FDA_0092,4K,FDA,ENTITY_UNIT_BINDING,False,0,1,4221,12.04336911395769
llama32_3b,Llama-3.2-3B-Instruct,FDA_0079_32K,FDA_0079,32K,FDA,TEMPORAL_VERSION,False,0,1,32583,14.991831822144238
llama32_3b,Llama-3.2-3B-Instruct,FRED_0027_64K,FRED_0027,64K,FRED,DIRECT_RETRIEVAL,False,0,1,64958,15.987219593437985
llama32_3b,Llama-3.2-3B-Instruct,SEC_0107_4K,SEC_0107,4K,SEC,UNANSWERABLE,True,1,0,4272,12.060695931687555
llama32_3b,Llama-3.2-3B-Instruct,SEC_0010_8K,SEC_0010,8K,SEC,RETRIEVAL_CALCULATION,False,0,1,8387,13.033939140726387
llama32_3b,Llama-3.2-3B-Instruct,FDA_0053_8K,FDA_0053,8K,FDA,RETRIEVAL_CALCULATION,False,0,1,8296,13.018200178813226
llama32_3b,Llama-3.2-3B-Instruct,FRED_0086_8K,FRED_0086,8K,FRED,TEMPORAL_VERSION,True,1,0,8339,13.0256586729435
llama32_3b,Llama-3.2-3B-Instruct,SEC_0097_16K,SEC_0097,16K,SEC,ENTITY_UNIT_BINDING,False,0,1,16470,14.007552934613717
llama32_3b,Llama-3.2-3B-Instruct,SEC_0060_82K,SEC_0060,82K,SEC,RETRIEVAL_CALCULATION,False,0,1,81755,16.319019345690663
llama32_3b,Llama-3.2-3B-Instruct,CT_0004_8K,CT_0004,8K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,8302,13.019243216603607
llama32_3b,Llama-3.2-3B-Instruct,SEC_0093_16K,SEC_0093,16K,SEC,TEMPORAL_VERSION,False,0,1,16511,14.011139880257986
llama32_3b,Llama-3.2-3B-Instruct,FRED_0085_64K,FRED_0085,64K,FRED,TEMPORAL_VERSION,False,0,1,64940,15.98681976417345
llama32_3b,Llama-3.2-3B-Instruct,FRED_0009_4K,FRED_0009,4K,FRED,ENTITY_UNIT_BINDING,False,0,1,4271,12.060358182642142
llama32_3b,Llama-3.2-3B-Instruct,FDA_0050_82K,FDA_0050,82K,FDA,RETRIEVAL_CALCULATION,True,1,0,81721,16.318419237636913
llama32_3b,Llama-3.2-3B-Instruct,CT_0089_4K,CT_0089,4K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,4234,12.047805554007589
llama32_3b,Llama-3.2-3B-Instruct,SEC_0070_16K,SEC_0070,16K,SEC,RETRIEVAL_CALCULATION,False,0,1,16538,14.013497154291704
llama32_3b,Llama-3.2-3B-Instruct,CT_0100_32K,CT_0100,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,1,0,32735,14.998546358475881
llama32_3b,Llama-3.2-3B-Instruct,CT_0057_8K,CT_0057,8K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,8285,13.016285982108814
llama32_3b,Llama-3.2-3B-Instruct,SEC_0029_4K,SEC_0029,4K,SEC,DIRECT_RETRIEVAL,False,0,1,4319,12.076481601207021
llama32_3b,Llama-3.2-3B-Instruct,CT_0061_8K,CT_0061,8K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,8354,13.028251428162793
llama32_3b,Llama-3.2-3B-Instruct,SEC_0101_16K,SEC_0101,16K,SEC,ENTITY_UNIT_BINDING,False,0,1,16446,14.00544911354693
llama32_3b,Llama-3.2-3B-Instruct,SEC_0043_4K,SEC_0043,4K,SEC,DIRECT_RETRIEVAL,True,1,0,4327,12.079151405421891
llama32_3b,Llama-3.2-3B-Instruct,FDA_0036_82K,FDA_0036,82K,FDA,DIRECT_RETRIEVAL,True,1,0,81709,16.31820737518177
llama32_3b,Llama-3.2-3B-Instruct,FRED_0022_82K,FRED_0022,82K,FRED,UNANSWERABLE,False,0,1,81766,16.319213444864147
llama32_3b,Llama-3.2-3B-Instruct,SEC_0037_64K,SEC_0037,64K,SEC,DIRECT_RETRIEVAL,True,1,0,65309,15.994994197671385
llama32_3b,Llama-3.2-3B-Instruct,CT_0005_8K,CT_0005,8K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,8353,13.028078722704887
llama32_3b,Llama-3.2-3B-Instruct,SEC_0039_16K,SEC_0039,16K,SEC,DIRECT_RETRIEVAL,False,0,1,16498,14.010003521295205
llama32_3b,Llama-3.2-3B-Instruct,CT_0072_4K,CT_0072,4K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,4243,12.050868963290736
llama32_3b,Llama-3.2-3B-Instruct,FRED_0013_8K,FRED_0013,8K,FRED,RETRIEVAL_CALCULATION,False,0,1,8312,13.020979938904212
llama32_3b,Llama-3.2-3B-Instruct,FRED_0100_4K,FRED_0100,4K,FRED,ENTITY_UNIT_BINDING,False,0,1,4281,12.063732120196919
llama32_3b,Llama-3.2-3B-Instruct,FDA_0030_64K,FDA_0030,64K,FDA,DIRECT_RETRIEVAL,True,1,0,65062,15.989527550925313
llama32_3b,Llama-3.2-3B-Instruct,FDA_0031_64K,FDA_0031,64K,FDA,DIRECT_RETRIEVAL,True,1,0,65030,15.988817803327619
llama32_3b,Llama-3.2-3B-Instruct,FRED_0062_16K,FRED_0062,16K,FRED,RETRIEVAL_CALCULATION,False,0,1,16484,14.0087787482805
llama32_3b,Llama-3.2-3B-Instruct,FDA_0046_82K,FDA_0046,82K,FDA,RETRIEVAL_CALCULATION,True,1,0,81720,16.318401583620588
llama32_3b,Llama-3.2-3B-Instruct,FDA_0086_64K,FDA_0086,64K,FDA,TEMPORAL_VERSION,False,0,1,65057,15.989416675876965
llama32_3b,Llama-3.2-3B-Instruct,SEC_0016_32K,SEC_0016,32K,SEC,RETRIEVAL_CALCULATION,False,0,1,32742,14.9988548290938
llama32_3b,Llama-3.2-3B-Instruct,FRED_0028_32K,FRED_0028,32K,FRED,DIRECT_RETRIEVAL,False,0,1,32656,14.995060467032719
llama32_3b,Llama-3.2-3B-Instruct,CT_0027_32K,CT_0027,32K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,32697,14.996870651857797
llama32_3b,Llama-3.2-3B-Instruct,FDA_0008_82K,FDA_0008,82K,FDA,ENTITY_UNIT_BINDING,True,1,0,81760,16.319107575824983
llama32_3b,Llama-3.2-3B-Instruct,FDA_0041_82K,FDA_0041,82K,FDA,DIRECT_RETRIEVAL,True,1,0,81758,16.319072284418755
llama32_3b,Llama-3.2-3B-Instruct,CT_0056_64K,CT_0056,64K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,False,0,1,65140,15.991256099283266
llama32_3b,Llama-3.2-3B-Instruct,FRED_0076_82K,FRED_0076,82K,FRED,TEMPORAL_VERSION,False,0,1,81764,16.319178156047638
llama32_3b,Llama-3.2-3B-Instruct,CT_0003_82K,CT_0003,82K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,81727,16.318525157198476
llama32_3b,Llama-3.2-3B-Instruct,FRED_0080_4K,FRED_0080,4K,FRED,TEMPORAL_VERSION,True,1,0,4246,12.051888655905378
llama32_3b,Llama-3.2-3B-Instruct,CT_0119_16K,CT_0119,16K,CLINICAL_TRIALS,UNANSWERABLE,False,0,1,16406,14.001935913123642
llama32_3b,Llama-3.2-3B-Instruct,CT_0031_16K,CT_0031,16K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,1,0,16434,14.004396051426534
