instance_id,question_family_id,domain,question_type,context_length_label,status,input_tokens,generated_tokens_count,generation_latency_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes,usable_answer_output,hit_max_new_tokens_128,degenerate_output,malformed_output_pattern
CT_0004_64K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,SUCCESS,65153,6,7.757528156973422,18745859584,23746052096,True,False,False,usable_answer_line
CT_0004_82K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,82K,SUCCESS,81702,6,11.153565048240125,21872956928,23746052096,True,False,False,usable_answer_line
CT_0004_8K,CT_0004,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,SUCCESS,8302,6,0.5693265357986093,8003292672,23746052096,True,False,False,usable_answer_line
CT_0005_16K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16468,6,1.1767519395798445,9547061760,23746052096,True,False,False,usable_answer_line
CT_0005_32K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32694,6,2.785310317762196,12614247936,23746052096,True,False,False,usable_answer_line
CT_0005_4K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,SUCCESS,4223,6,0.2899538669735193,7234361344,23746052096,True,False,False,usable_answer_line
CT_0005_64K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,SUCCESS,65161,6,7.750845870934427,18747371008,23725080576,True,False,False,usable_answer_line
CT_0005_82K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,82K,SUCCESS,81743,6,11.157104247249663,21881508352,23746052096,True,False,False,usable_answer_line
CT_0005_8K,CT_0005,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,SUCCESS,8353,6,0.5722098825499415,8012930560,23746052096,True,False,False,usable_answer_line
CT_0006_16K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16473,8,1.212368425913155,9547924992,23746052096,True,False,False,usable_answer_line
CT_0006_32K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32689,9,2.852265010587871,12612431360,23746052096,True,False,False,usable_answer_line
CT_0006_4K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4301,8,0.3059732122346759,7249771520,23746052096,True,False,False,usable_answer_line
CT_0006_64K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65211,5,7.729405065998435,18756817408,23746052096,True,False,False,usable_answer_line
CT_0006_82K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81780,8,11.261992036364973,21887891968,23746052096,True,False,False,usable_answer_line
CT_0006_8K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8319,8,0.5925183882936835,8006504960,23746052096,True,False,False,usable_answer_line
CT_0007_16K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16509,9,1.2292590355500579,9554136576,23746052096,True,False,False,usable_answer_line
CT_0007_32K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32750,9,2.862273570150137,12624240128,23746052096,True,False,False,usable_answer_line
CT_0007_4K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4268,9,0.3278916394338012,7242772992,23746052096,True,False,False,usable_answer_line
CT_0007_64K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65227,9,7.879177852533758,18760710656,23746052096,True,False,False,usable_answer_line
CT_0007_82K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81770,9,11.287939109839499,21886166528,23746052096,True,False,False,usable_answer_line
CT_0007_8K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8358,9,0.6029842542484403,8013874688,23746052096,True,False,False,usable_answer_line
CT_0008_16K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16476,7,1.1989288767799735,9548442112,23746052096,True,False,False,usable_answer_line
CT_0008_32K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32730,7,2.8151859967038035,12620297728,23746052096,True,False,False,usable_answer_line
CT_0008_4K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4261,7,0.3017147025093436,7241475072,23746052096,True,False,False,usable_answer_line
CT_0008_64K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65220,8,7.843869793228805,18759502336,23746052096,True,False,False,usable_answer_line
CT_0008_82K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81697,7,11.192707255482674,21872012800,23746052096,True,False,False,usable_answer_line
CT_0008_8K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8350,7,0.5828017117455602,8012363264,23746052096,True,False,False,usable_answer_line
CT_0009_16K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16486,8,1.2127514546737075,9550167552,23746052096,True,False,False,usable_answer_line
CT_0009_32K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32705,7,2.815900974906981,12616775168,23746052096,True,False,False,usable_answer_line
CT_0009_4K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4335,8,0.31575821060687304,7255296000,23746052096,True,False,False,usable_answer_line
CT_0009_64K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65205,7,7.792559457011521,18755683840,23746052096,True,False,False,usable_answer_line
CT_0009_82K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81766,7,11.210960263386369,21885476352,23746052096,True,False,False,usable_answer_line
CT_0009_8K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8394,8,0.5958841042593122,8020678144,23746052096,True,False,False,usable_answer_line
CT_0010_16K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16445,6,1.1763728400692344,9541993984,23746052096,True,False,False,usable_answer_line
CT_0010_32K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32614,6,2.7863564379513264,12598140416,23746052096,True,False,False,usable_answer_line
CT_0010_4K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4273,6,0.29224810004234314,7243707392,23746052096,True,False,False,usable_answer_line
CT_0010_64K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65135,6,7.747950350865722,18742456832,23746052096,True,False,False,usable_answer_line
CT_0010_82K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81743,6,11.156260871328413,21881508352,23746052096,True,False,False,usable_answer_line
CT_0010_8K,CT_0010,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8273,6,0.5696955416351557,7997920768,23746052096,True,False,False,usable_answer_line
CT_0011_16K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16413,7,1.189325401559472,9535948288,23746052096,True,False,False,usable_answer_line
CT_0011_32K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32689,7,2.807882346212864,12612431360,23746052096,True,False,False,usable_answer_line
CT_0011_4K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4247,7,0.29699292592704296,7239747584,23746052096,True,False,False,usable_answer_line
CT_0011_64K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65156,7,7.792726655490696,18746425856,23746052096,True,False,False,usable_answer_line
CT_0011_82K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81734,7,11.205028827302158,21879954944,23746052096,True,False,False,usable_answer_line
CT_0011_8K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8339,7,0.5847464920952916,8010285568,23746052096,True,False,False,usable_answer_line
CT_0012_16K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16450,6,1.1828483426943421,9543955968,23746052096,True,False,False,usable_answer_line
CT_0012_32K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32688,7,2.8071498833596706,12612254208,23746052096,True,False,False,usable_answer_line
CT_0012_4K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4280,7,0.30639450438320637,7245015552,23746052096,True,False,False,usable_answer_line
CT_0012_64K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65157,6,7.752006378956139,18746615296,23746052096,True,False,False,usable_answer_line
CT_0012_82K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81719,7,11.20964709110558,21876169216,23746052096,True,False,False,usable_answer_line
CT_0012_8K,CT_0012,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8318,7,0.5741303684189916,8006315520,23746052096,True,False,False,usable_answer_line
CT_0013_16K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16514,6,1.1884396066889167,9555033600,23746052096,True,False,False,usable_answer_line
CT_0013_32K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32741,6,2.7861930672079325,12622061056,23746052096,True,False,False,usable_answer_line
CT_0013_4K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4329,6,0.2866729907691479,7254174720,20484980736,True,False,False,usable_answer_line
CT_0013_64K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65228,6,7.766924289986491,18760882688,23746052096,True,False,False,usable_answer_line
CT_0013_82K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81732,6,11.155539635568857,21879609856,23746052096,True,False,False,usable_answer_line
CT_0013_8K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8390,6,0.5702016483992338,8019922432,23746052096,True,False,False,usable_answer_line
CT_0014_16K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16451,6,1.1764794513583183,9544129024,23746052096,True,False,False,usable_answer_line
CT_0014_32K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32722,6,2.792011074721813,12619015680,23746052096,True,False,False,usable_answer_line
CT_0014_4K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4263,6,0.2891592485830188,7241838592,23746052096,True,False,False,usable_answer_line
CT_0014_64K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65158,6,7.761819212697446,18746803712,23746052096,True,False,False,usable_answer_line
CT_0014_82K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81705,6,11.153828896582127,21873524224,23746052096,True,False,False,usable_answer_line
CT_0014_8K,CT_0014,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8367,6,0.5734972031787038,8015575552,23746052096,True,False,False,usable_answer_line
CT_0015_16K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16486,6,1.1832014005631208,9550167552,23746052096,True,False,False,usable_answer_line
CT_0015_32K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32715,6,2.789597966708243,12617968128,23746052096,True,False,False,usable_answer_line
CT_0015_4K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4251,6,0.28586736880242825,7240241152,23746052096,True,False,False,usable_answer_line
CT_0015_64K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65150,6,7.742377424612641,18745290240,23746052096,True,False,False,usable_answer_line
CT_0015_82K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81776,6,11.167232247069478,21887201792,23746052096,True,False,False,usable_answer_line
CT_0015_8K,CT_0015,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8367,6,0.5723592387512326,8015575552,23746052096,True,False,False,usable_answer_line
CT_0016_16K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,SUCCESS,16418,6,1.1794768618419766,9536892416,23746052096,True,False,False,usable_answer_line
CT_0016_32K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,SUCCESS,32670,6,2.784744125790894,12607870464,23746052096,True,False,False,usable_answer_line
CT_0016_4K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,4K,SUCCESS,4269,6,0.29432256147265434,7242959872,23746052096,True,False,False,usable_answer_line
CT_0016_64K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,SUCCESS,65109,6,7.742780541069806,18737544704,23746052096,True,False,False,usable_answer_line
CT_0016_82K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,82K,SUCCESS,81763,6,11.166912524029613,21884959232,23746052096,True,False,False,usable_answer_line
CT_0016_8K,CT_0016,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,SUCCESS,8332,7,0.5810962682589889,8008962560,23746052096,True,False,False,usable_answer_line
CT_0017_16K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16458,11,1.2616969514638186,9545336320,23746052096,True,False,False,usable_answer_line
CT_0017_32K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32644,11,2.897360065020621,12602958336,23746052096,True,False,False,usable_answer_line
CT_0017_4K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4226,11,0.34116513282060623,7234924032,23746052096,True,False,False,usable_answer_line
CT_0017_64K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65126,11,7.925099419429898,18740755968,23746052096,True,False,False,usable_answer_line
CT_0017_82K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81753,11,11.373063984327018,21883233792,23746052096,True,False,False,usable_answer_line
CT_0017_8K,CT_0017,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8302,11,0.6248935451731086,8003292672,23746052096,True,False,False,usable_answer_line
CT_0018_16K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16457,11,1.2568187601864338,9545164288,23746052096,True,False,False,usable_answer_line
CT_0018_32K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32707,11,2.9031694503501058,12617013760,23746052096,True,False,False,usable_answer_line
CT_0018_4K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4310,11,0.34989398159086704,7251029504,23746052096,True,False,False,usable_answer_line
CT_0018_64K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65201,11,7.937128076329827,18754928128,23746052096,True,False,False,usable_answer_line
CT_0018_82K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81719,11,11.362903544679284,21876169216,23746052096,True,False,False,usable_answer_line
CT_0018_8K,CT_0018,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8344,11,0.6351893246173859,8011229696,23746052096,True,False,False,usable_answer_line
CT_0019_16K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16475,11,1.2642290629446507,9548270080,23746052096,True,False,False,usable_answer_line
CT_0019_32K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32704,11,2.89961407892406,12616653312,23746052096,True,False,False,usable_answer_line
CT_0019_4K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4260,11,0.3526531932875514,7241351680,23746052096,True,False,False,usable_answer_line
CT_0019_64K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65174,11,7.936788555234671,18749826560,23746052096,True,False,False,usable_answer_line
CT_0019_82K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81781,11,11.389916839078069,21888065024,23746052096,True,False,False,usable_answer_line
CT_0019_8K,CT_0019,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8367,11,0.6300571486353874,8015575552,23746052096,True,False,False,usable_answer_line
CT_0020_16K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,SUCCESS,16428,11,1.250104632228613,9538781696,23746052096,True,False,False,usable_answer_line
CT_0020_32K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,SUCCESS,32717,11,2.9042794099077582,12618214912,23746052096,True,False,False,usable_answer_line
CT_0020_4K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,SUCCESS,4296,11,0.34483967907726765,7248007680,23746052096,True,False,False,usable_answer_line
CT_0020_64K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,64K,SUCCESS,65188,11,7.9294840302318335,18752471552,23746052096,True,False,False,usable_answer_line
CT_0020_82K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,82K,SUCCESS,81720,11,11.357832685112953,21876357632,23746052096,True,False,False,usable_answer_line
CT_0020_8K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,SUCCESS,8353,11,0.6379407197237015,8012930560,23746052096,True,False,False,usable_answer_line
CT_0021_16K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,16K,SUCCESS,16449,11,1.2679335419088602,9543783936,23746052096,True,False,False,usable_answer_line
CT_0021_32K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,32K,SUCCESS,32645,11,2.9016355695202947,12603147776,23746052096,True,False,False,usable_answer_line
CT_0021_4K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,4K,SUCCESS,4225,11,0.34656163305044174,7234737152,23746052096,True,False,False,usable_answer_line
CT_0021_64K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,64K,SUCCESS,65166,11,7.926458410918713,18748315136,23725080576,True,False,False,usable_answer_line
CT_0021_82K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,82K,SUCCESS,81719,11,11.363342708908021,21876169216,23746052096,True,False,False,usable_answer_line
CT_0021_8K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,8K,SUCCESS,8335,11,0.6319619724527001,8009529856,23746052096,True,False,False,usable_answer_line
CT_0022_16K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,16K,SUCCESS,16463,11,1.2551155127584934,9546199552,23746052096,True,False,False,usable_answer_line
CT_0022_32K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,32K,SUCCESS,32648,11,2.896616925485432,12603714048,23746052096,True,False,False,usable_answer_line
CT_0022_4K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,4K,SUCCESS,4249,11,0.34754274412989616,7239994368,23746052096,True,False,False,usable_answer_line
CT_0022_64K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,64K,SUCCESS,65148,11,7.921160578727722,18744912384,23746052096,True,False,False,usable_answer_line
CT_0022_82K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,82K,SUCCESS,81741,11,11.395873011089861,21881163264,23746052096,True,False,False,usable_answer_line
CT_0022_8K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,8K,SUCCESS,8329,11,0.6405608411878347,8008396288,23746052096,True,False,False,usable_answer_line
CT_0023_16K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,16K,SUCCESS,16397,11,1.2583471210673451,9532925440,23746052096,True,False,False,usable_answer_line
CT_0023_32K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,32K,SUCCESS,32703,11,2.902310462668538,12615469568,23746052096,True,False,False,usable_answer_line
CT_0023_4K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,4K,SUCCESS,4280,11,0.35283057764172554,7245015552,23746052096,True,False,False,usable_answer_line
CT_0023_64K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,64K,SUCCESS,65131,11,7.9298294968903065,18741701120,23746052096,True,False,False,usable_answer_line
CT_0023_82K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,82K,SUCCESS,81793,11,11.385661122389138,21890153984,23746052096,True,False,False,usable_answer_line
CT_0023_8K,CT_0023,CLINICAL_TRIALS,UNANSWERABLE,8K,SUCCESS,8334,11,0.6308658486232162,8009340416,23746052096,True,False,False,usable_answer_line
CT_0024_16K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,16K,SUCCESS,16395,11,1.2562940316274762,9532547584,23746052096,True,False,False,usable_answer_line
CT_0024_32K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,32K,SUCCESS,32658,11,2.9049177952110767,12605603328,23746052096,True,False,False,usable_answer_line
CT_0024_4K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,4K,SUCCESS,4218,11,0.34218552242964506,7233426944,23746052096,True,False,False,usable_answer_line
CT_0024_64K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,64K,SUCCESS,65113,11,7.935414188541472,18738300416,23746052096,True,False,False,usable_answer_line
CT_0024_82K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,82K,SUCCESS,81730,11,11.355526954866946,21879264768,23746052096,True,False,False,usable_answer_line
CT_0024_8K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,8K,SUCCESS,8308,11,0.6325544603168964,8004426240,23746052096,True,False,False,usable_answer_line
CT_0025_16K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,16K,SUCCESS,16403,6,1.1779265133664012,9534059008,23746052096,True,False,False,usable_answer_line
CT_0025_32K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,32K,SUCCESS,32696,6,2.7851528422906995,12614519296,23746052096,True,False,False,usable_answer_line
CT_0025_4K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,4K,SUCCESS,4221,7,0.30454964470118284,7233987584,23746052096,True,False,False,usable_answer_line
CT_0025_64K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,64K,SUCCESS,65117,6,7.744530946947634,18739056128,23746052096,True,False,False,usable_answer_line
CT_0025_82K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,82K,SUCCESS,81703,7,11.181785851716995,21873146368,23746052096,True,False,False,usable_answer_line
CT_0025_8K,CT_0025,CLINICAL_TRIALS,UNANSWERABLE,8K,SUCCESS,8347,6,0.5720971068367362,8011796992,23746052096,True,False,False,usable_answer_line
CT_0026_16K,CT_0026,CLINICAL_TRIALS,DIRECT_RETRIEVAL,16K,SUCCESS,16431,6,1.1784317921847105,9539348992,23746052096,True,False,False,usable_answer_line
CT_0026_32K,CT_0026,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,SUCCESS,32685,6,2.7878631576895714,12611724800,23746052096,True,False,False,usable_answer_line
