question_family_id,outcome,sequence,transition_category,first_true_context
SEC_0005,hallucination_int,00000,never_true,
SEC_0006,hallucination_int,01000,non_monotonic,8K
SEC_0007,hallucination_int,00000,never_true,
SEC_0008,hallucination_int,00000,never_true,
SEC_0009,hallucination_int,11111,true_all_contexts,4K
SEC_0010,hallucination_int,11111,true_all_contexts,4K
SEC_0011,hallucination_int,11111,true_all_contexts,4K
SEC_0012,hallucination_int,11111,true_all_contexts,4K
SEC_0013,hallucination_int,11111,true_all_contexts,4K
SEC_0014,hallucination_int,00001,first_true_at_64K,64K
SEC_0015,hallucination_int,11111,true_all_contexts,4K
SEC_0016,hallucination_int,11010,true_at_shorter_recovered_later,4K
SEC_0017,hallucination_int,00000,never_true,
SEC_0018,hallucination_int,00000,never_true,
SEC_0019,hallucination_int,00000,never_true,
SEC_0020,hallucination_int,00001,first_true_at_64K,64K
SEC_0021,hallucination_int,00011,first_true_at_32K,32K
SEC_0022,hallucination_int,00001,first_true_at_64K,64K
SEC_0023,hallucination_int,00011,first_true_at_32K,32K
SEC_0024,hallucination_int,00001,first_true_at_64K,64K
SEC_0025,hallucination_int,00001,first_true_at_64K,64K
CT_0001,answer_correct_int,11110,true_at_shorter_recovered_later,4K
CT_0002,answer_correct_int,11111,true_all_contexts,4K
CT_0003,answer_correct_int,11111,true_all_contexts,4K
CT_0004,answer_correct_int,11111,true_all_contexts,4K
CT_0005,answer_correct_int,11111,true_all_contexts,4K
CT_0006,answer_correct_int,11100,true_at_shorter_recovered_later,4K
CT_0007,answer_correct_int,11111,true_all_contexts,4K
CT_0008,answer_correct_int,11110,true_at_shorter_recovered_later,4K
CT_0009,answer_correct_int,11110,true_at_shorter_recovered_later,4K
CT_0010,answer_correct_int,11000,true_at_shorter_recovered_later,4K
CT_0011,answer_correct_int,00000,never_true,
CT_0012,answer_correct_int,00000,never_true,
CT_0013,answer_correct_int,00000,never_true,
CT_0014,answer_correct_int,00000,never_true,
CT_0015,answer_correct_int,00000,never_true,
CT_0016,answer_correct_int,00000,never_true,
CT_0017,answer_correct_int,11011,true_at_shorter_recovered_later,4K
CT_0018,answer_correct_int,01110,non_monotonic,8K
CT_0019,answer_correct_int,01110,non_monotonic,8K
CT_0020,answer_correct_int,10000,true_at_shorter_recovered_later,4K
CT_0021,answer_correct_int,00000,never_true,
CT_0022,answer_correct_int,00000,never_true,
CT_0023,answer_correct_int,00000,never_true,
CT_0024,answer_correct_int,00000,never_true,
CT_0025,answer_correct_int,00000,never_true,
FDA_0001,answer_correct_int,11111,true_all_contexts,4K
FDA_0002,answer_correct_int,11111,true_all_contexts,4K
FDA_0003,answer_correct_int,11111,true_all_contexts,4K
FDA_0004,answer_correct_int,11001,true_at_shorter_recovered_later,4K
FDA_0005,answer_correct_int,11111,true_all_contexts,4K
FDA_0006,answer_correct_int,11000,true_at_shorter_recovered_later,4K
FDA_0007,answer_correct_int,11100,true_at_shorter_recovered_later,4K
FDA_0008,answer_correct_int,11111,true_all_contexts,4K
FDA_0009,answer_correct_int,00000,never_true,
FDA_0010,answer_correct_int,00111,first_true_at_16K,16K
FDA_0011,answer_correct_int,11110,true_at_shorter_recovered_later,4K
FDA_0012,answer_correct_int,00000,never_true,
FDA_0013,answer_correct_int,00011,first_true_at_32K,32K
FDA_0014,answer_correct_int,10000,true_at_shorter_recovered_later,4K
FDA_0015,answer_correct_int,00000,never_true,
FDA_0016,answer_correct_int,00000,never_true,
FDA_0017,answer_correct_int,00000,never_true,
FDA_0018,answer_correct_int,11110,true_at_shorter_recovered_later,4K
FDA_0019,answer_correct_int,11000,true_at_shorter_recovered_later,4K
FDA_0020,answer_correct_int,11000,true_at_shorter_recovered_later,4K
FDA_0021,answer_correct_int,00000,never_true,
FDA_0022,answer_correct_int,00000,never_true,
FDA_0023,answer_correct_int,00000,never_true,
FDA_0024,answer_correct_int,00000,never_true,
FDA_0025,answer_correct_int,00000,never_true,
FRED_0001,answer_correct_int,11000,true_at_shorter_recovered_later,4K
FRED_0002,answer_correct_int,11010,true_at_shorter_recovered_later,4K
FRED_0003,answer_correct_int,10101,true_at_shorter_recovered_later,4K
FRED_0004,answer_correct_int,00011,first_true_at_32K,32K
FRED_0005,answer_correct_int,11111,true_all_contexts,4K
FRED_0006,answer_correct_int,10010,true_at_shorter_recovered_later,4K
FRED_0007,answer_correct_int,10110,true_at_shorter_recovered_later,4K
FRED_0008,answer_correct_int,11111,true_all_contexts,4K
FRED_0009,answer_correct_int,00000,never_true,
FRED_0010,answer_correct_int,00000,never_true,
FRED_0011,answer_correct_int,00000,never_true,
FRED_0012,answer_correct_int,00001,first_true_at_64K,64K
FRED_0013,answer_correct_int,00000,never_true,
FRED_0014,answer_correct_int,00000,never_true,
FRED_0015,answer_correct_int,10000,true_at_shorter_recovered_later,4K
FRED_0016,answer_correct_int,00000,never_true,
FRED_0017,answer_correct_int,11100,true_at_shorter_recovered_later,4K
FRED_0018,answer_correct_int,11010,true_at_shorter_recovered_later,4K
FRED_0019,answer_correct_int,11110,true_at_shorter_recovered_later,4K
FRED_0020,answer_correct_int,01000,non_monotonic,8K
FRED_0021,answer_correct_int,11100,true_at_shorter_recovered_later,4K
FRED_0022,answer_correct_int,11110,true_at_shorter_recovered_later,4K
FRED_0023,answer_correct_int,11100,true_at_shorter_recovered_later,4K
FRED_0024,answer_correct_int,11111,true_all_contexts,4K
FRED_0025,answer_correct_int,11110,true_at_shorter_recovered_later,4K
SEC_0001,answer_correct_int,11101,true_at_shorter_recovered_later,4K
SEC_0002,answer_correct_int,11110,true_at_shorter_recovered_later,4K
SEC_0003,answer_correct_int,10000,true_at_shorter_recovered_later,4K
SEC_0004,answer_correct_int,10101,true_at_shorter_recovered_later,4K
SEC_0005,answer_correct_int,11000,true_at_shorter_recovered_later,4K
SEC_0006,answer_correct_int,10101,true_at_shorter_recovered_later,4K
SEC_0007,answer_correct_int,11010,true_at_shorter_recovered_later,4K
SEC_0008,answer_correct_int,00001,first_true_at_64K,64K
SEC_0009,answer_correct_int,00000,never_true,
SEC_0010,answer_correct_int,00000,never_true,
SEC_0011,answer_correct_int,00000,never_true,
SEC_0012,answer_correct_int,00000,never_true,
SEC_0013,answer_correct_int,00000,never_true,
SEC_0014,answer_correct_int,00000,never_true,
SEC_0015,answer_correct_int,00000,never_true,
SEC_0016,answer_correct_int,00000,never_true,
SEC_0017,answer_correct_int,10101,true_at_shorter_recovered_later,4K
SEC_0018,answer_correct_int,11111,true_all_contexts,4K
SEC_0019,answer_correct_int,11111,true_all_contexts,4K
SEC_0020,answer_correct_int,11000,true_at_shorter_recovered_later,4K
SEC_0021,answer_correct_int,11100,true_at_shorter_recovered_later,4K
SEC_0022,answer_correct_int,11110,true_at_shorter_recovered_later,4K
SEC_0023,answer_correct_int,11100,true_at_shorter_recovered_later,4K
SEC_0024,answer_correct_int,11110,true_at_shorter_recovered_later,4K
SEC_0025,answer_correct_int,11110,true_at_shorter_recovered_later,4K
