instance_id,question_family_id,domain,question_type,context_length_label,answerable,gold_answer,raw_output_text,parsed_answer,normalized_gold_answer,normalized_model_answer,answer_correct,abstention_correct,hallucination,error_type,matched_context_value,matched_distractor_type,grading_rule_used,needs_semantic_review,review_reason,input_tokens,generated_tokens_count,generation_latency_seconds
CT_0021_64K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,64K,False,,ANSWER: 2018-10-31,2018-10-31,INSUFFICIENT_EVIDENCE,2018-10-31,False,False,True,FAILED_TO_ABSTAIN,2018-10-31,WRONG_FIELD,unanswerable_instance_factual_answer,False,,65153,11,7.908279428258538
CT_0013_32K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,32K,True,715,ANSWER: 109,109,715,109,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32743,6,2.7838827976956964
SEC_0024_64K,SEC_0024,SEC,UNANSWERABLE,64K,False,,ANSWER: 7081000000.0,7081000000.0,INSUFFICIENT_EVIDENCE,7081000000.0,False,False,True,FAILED_TO_ABSTAIN,7081000000.0,OTHER_SAME_DOMAIN,unanswerable_instance_factual_answer,False,,65197,11,7.915737975388765
SEC_0007_32K,SEC_0007,SEC,ENTITY_UNIT_BINDING,32K,True,"14,527,000,000",ANSWER: 14527000000.0,14527000000.0,14527000000.0,14527000000.0,True,True,False,CORRECT,14527000000.0,WRONG_PERIOD,answer_only_exact_match,False,,32775,11,2.9308730931952596
FRED_0021_16K,FRED_0021,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16379,10,1.198428526520729
FRED_0012_32K,FRED_0012,FRED,RETRIEVAL_CALCULATION,32K,True,0.00%,ANSWER: 0.05,0.05,0.0,0.05,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32593,8,2.816844414919615
SEC_0008_8K,SEC_0008,SEC,ENTITY_UNIT_BINDING,8K,True,"-15,999,000,000",ANSWER: -20562000000.0,-20562000000.0,-15999000000.0,-20562000000.0,False,True,False,WRONG_ENTITY,-20562000000.0,WRONG_ENTITY,answer_matches_context_distractor_value,False,,8334,11,0.6346905957907438
SEC_0019_64K,SEC_0019,SEC,TEMPORAL_VERSION,64K,True,"10,151,000,000",ANSWER: 10151000000.0,10151000000.0,10151000000.0,10151000000.0,True,True,False,CORRECT,10151000000.0,,answer_only_exact_match,False,,65294,11,7.940345869399607
FRED_0008_64K,FRED_0008,FRED,ENTITY_UNIT_BINDING,64K,True,1.770,ANSWER: 1.77,1.77,1.77,1.77,True,True,False,CORRECT,1.77,,answer_only_exact_match,False,,64980,8,7.778348997235298
FDA_0018_8K,FDA_0018,FDA,TEMPORAL_VERSION,8K,True,2018-08-24,ANSWER: 2018-08-24,2018-08-24,2018-08-24,2018-08-24,True,True,False,CORRECT,2018-08-24,,answer_only_exact_match,False,,8328,11,0.6351340357214212
FDA_0012_64K,FDA_0012,FDA,RETRIEVAL_CALCULATION,64K,True,3,ANSWER: 7,7,3,7,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65009,6,7.72173500712961
FDA_0013_64K,FDA_0013,FDA,RETRIEVAL_CALCULATION,64K,True,5,ANSWER: 5,5,5,5,True,True,False,CORRECT,,,answer_only_exact_match,False,,65039,6,7.740116844885051
CT_0006_8K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,8K,True,ACTIVE_COMPARATOR,ANSWER: ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,active_comparator,active_comparator,True,True,False,CORRECT,ACTIVE_COMPARATOR,WRONG_ENTITY,answer_only_exact_match,False,,8382,8,0.6089399652555585
FDA_0008_64K,FDA_0008,FDA,ENTITY_UNIT_BINDING,64K,True,100MG,ANSWER: 100MG,100MG,100mg,100mg,True,True,False,CORRECT,100MG,WRONG_ENTITY,answer_only_exact_match,False,,65075,7,7.76244455203414
SEC_0021_8K,SEC_0021,SEC,UNANSWERABLE,8K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,8372,10,0.6229965398088098
SEC_0014_32K,SEC_0014,SEC,RETRIEVAL_CALCULATION,32K,True,47.90%,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,47.9,INSUFFICIENT_EVIDENCE,False,False,False,UNNECESSARY_ABSTENTION,,,answerable_instance_unnecessary_abstention,False,,32720,10,2.8753479085862637
SEC_0018_4K,SEC_0018,SEC,TEMPORAL_VERSION,4K,True,"81,770,000,000",ANSWER: 81770000000.0,81770000000.0,81770000000.0,81770000000.0,True,True,False,CORRECT,81770000000.0,,answer_only_exact_match,False,,4205,11,0.33761079516261816
FRED_0017_64K,FRED_0017,FRED,TEMPORAL_VERSION,64K,True,"144,120",ANSWER: 144328,144328,144120.0,144328.0,False,True,False,WRONG_VERSION,144328.0,WRONG_VERSION,answer_matches_context_distractor_value,False,,64949,7,7.750411539338529
FDA_0008_32K,FDA_0008,FDA,ENTITY_UNIT_BINDING,32K,True,100MG,ANSWER: 100MG,100MG,100mg,100mg,True,True,False,CORRECT,100MG,WRONG_ENTITY,answer_only_exact_match,False,,32645,7,2.8059171652421355
FRED_0002_64K,FRED_0002,FRED,DIRECT_RETRIEVAL,64K,True,"23,425.910",ANSWER: 22740.959,22740.959,23425.91,22740.959,False,True,False,WRONG_VERSION,22740.959,WRONG_VERSION,answer_matches_context_distractor_value,False,,64965,9,7.819716106168926
SEC_0004_4K,SEC_0004,SEC,DIRECT_RETRIEVAL,4K,True,"115,856,000,000",ANSWER: 115856000000,115856000000,115856000000.0,115856000000.0,True,True,False,CORRECT,115856000000.0,,answer_only_exact_match,False,,4280,9,0.3281746283173561
SEC_0024_16K,SEC_0024,SEC,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16493,10,1.2462784266099334
CT_0011_8K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,8K,True,"3,998",ANSWER: 4433,4433,3998,4433,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8333,7,0.5843965159729123
FRED_0012_16K,FRED_0012,FRED,RETRIEVAL_CALCULATION,16K,True,0.00%,ANSWER: 0.05,0.05,0.0,0.05,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16451,8,1.1977144042029977
SEC_0005_64K,SEC_0005,SEC,DIRECT_RETRIEVAL,64K,True,"15,119,000,000",ANSWER: 4010000000,4010000000,15119000000.0,4010000000.0,False,True,False,WRONG_PERIOD,4010000000.0,WRONG_PERIOD,answer_matches_context_distractor_value,False,,65262,9,7.874557579867542
SEC_0021_16K,SEC_0021,SEC,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16513,10,1.2440771711990237
FRED_0008_8K,FRED_0008,FRED,ENTITY_UNIT_BINDING,8K,True,1.770,ANSWER: 1.77,1.77,1.77,1.77,True,True,False,CORRECT,1.77,,answer_only_exact_match,False,,8278,8,0.5891527123749256
FRED_0001_64K,FRED_0001,FRED,DIRECT_RETRIEVAL,64K,True,"150,895",ANSWER: 150840,150840,150895.0,150840.0,False,True,False,WRONG_VERSION,150840.0,WRONG_VERSION,answer_matches_context_distractor_value,False,,64954,7,7.7323290864005685
SEC_0023_64K,SEC_0023,SEC,UNANSWERABLE,64K,False,,ANSWER: 49750000000.0,49750000000.0,INSUFFICIENT_EVIDENCE,49750000000.0,False,False,True,FAILED_TO_ABSTAIN,49750000000.0,OTHER_SAME_DOMAIN,unanswerable_instance_factual_answer,False,,65317,11,7.954191768541932
FRED_0016_64K,FRED_0016,FRED,RETRIEVAL_CALCULATION,64K,True,0.00%,ANSWER: 0.07,0.07,0.0,0.07,False,True,False,WRONG_PERIOD,0.07,WRONG_PERIOD,answer_matches_context_distractor_value,False,,64962,8,7.788083292543888
FDA_0011_64K,FDA_0011,FDA,RETRIEVAL_CALCULATION,64K,True,2,ANSWER: 1,1,2,1,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65071,6,7.73068442940712
CT_0022_64K,CT_0022,CLINICAL_TRIALS,UNANSWERABLE,64K,False,,ANSWER: 2023-10-13,2023-10-13,INSUFFICIENT_EVIDENCE,2023-10-13,False,False,True,FAILED_TO_ABSTAIN,2023-10-13,WRONG_FIELD,unanswerable_instance_factual_answer,False,,65155,11,7.930551590397954
FRED_0015_16K,FRED_0015,FRED,RETRIEVAL_CALCULATION,16K,True,0.20,ANSWER: 0.40,0.40,0.2,0.4,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16401,8,1.2071900060400367
CT_0009_4K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,True,ACTIVE_COMPARATOR,ANSWER: ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,active_comparator,active_comparator,True,True,False,CORRECT,ACTIVE_COMPARATOR,WRONG_ENTITY,answer_only_exact_match,False,,4271,8,0.3146917661651969
CT_0024_8K,CT_0024,CLINICAL_TRIALS,UNANSWERABLE,8K,False,,ANSWER: 2023-10-24,2023-10-24,INSUFFICIENT_EVIDENCE,2023-10-24,False,False,True,FAILED_TO_ABSTAIN,2023-10-24,WRONG_FIELD,unanswerable_instance_factual_answer,False,,8311,11,0.6348391594365239
FDA_0006_8K,FDA_0006,FDA,ENTITY_UNIT_BINDING,8K,True,40MG,ANSWER: 40MG,40MG,40mg,40mg,True,True,False,CORRECT,40MG,,answer_only_exact_match,False,,8353,7,0.5846270676702261
FRED_0016_16K,FRED_0016,FRED,RETRIEVAL_CALCULATION,16K,True,0.00%,ANSWER: 0.03,0.03,0.0,0.03,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16422,8,1.2097595110535622
FRED_0020_4K,FRED_0020,FRED,TEMPORAL_VERSION,4K,True,"19,478.893",ANSWER: 23921.991,23921.991,19478.893,23921.991,False,True,False,WRONG_UNIT,23921.991,WRONG_UNIT,answer_matches_context_distractor_value,False,,4249,9,0.3150655459612608
SEC_0024_8K,SEC_0024,SEC,UNANSWERABLE,8K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,8295,10,0.6211751895025373
FRED_0024_16K,FRED_0024,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16417,10,1.2412028471007943
FDA_0020_16K,FDA_0020,FDA,TEMPORAL_VERSION,16K,True,2013-12-30,ANSWER: 2016-01-04,2016-01-04,2013-12-30,2016-01-04,False,True,False,WRONG_PERIOD,2016-01-04,WRONG_PERIOD,answer_matches_context_distractor_value,False,,16436,11,1.2563091600313783
FDA_0016_8K,FDA_0016,FDA,RETRIEVAL_CALCULATION,8K,True,8.9286,ANSWER: 0.7500,0.7500,8.9286,0.75,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8298,9,0.607903559692204
SEC_0010_32K,SEC_0010,SEC,RETRIEVAL_CALCULATION,32K,True,27.84%,ANSWER: 12.30,12.30,27.84,12.3,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32704,8,2.8345600282773376
FDA_0006_4K,FDA_0006,FDA,ENTITY_UNIT_BINDING,4K,True,40MG,ANSWER: 40MG,40MG,40mg,40mg,True,True,False,CORRECT,40MG,,answer_only_exact_match,False,,4268,7,0.2978937476873398
FDA_0010_16K,FDA_0010,FDA,RETRIEVAL_CALCULATION,16K,True,2,ANSWER: 2,2,2,2,True,True,False,CORRECT,,,answer_only_exact_match,False,,16438,6,1.180560457520187
FRED_0006_4K,FRED_0006,FRED,ENTITY_UNIT_BINDING,4K,True,"149,952",ANSWER: 149952.0,149952.0,149952.0,149952.0,True,True,False,CORRECT,149952.0,,answer_only_exact_match,False,,4288,9,0.32764533441513777
SEC_0012_8K,SEC_0012,SEC,RETRIEVAL_CALCULATION,8K,True,20.68%,ANSWER: 11.30,11.30,20.68,11.3,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8388,8,0.6008878946304321
SEC_0013_64K,SEC_0013,SEC,RETRIEVAL_CALCULATION,64K,True,79.70%,ANSWER: -11.11,-11.11,79.7,-11.11,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65250,8,7.83168229740113
FRED_0018_16K,FRED_0018,FRED,TEMPORAL_VERSION,16K,True,256.192,ANSWER: 256.094,256.094,256.192,256.094,False,True,False,WRONG_VERSION,256.094,WRONG_VERSION,answer_matches_context_distractor_value,False,,16427,8,1.2081936225295067
FRED_0019_4K,FRED_0019,FRED,TEMPORAL_VERSION,4K,True,3.700,ANSWER: 3.7,3.7,3.7,3.7,True,True,False,CORRECT,3.7,NEAR_MATCH_VALUE,answer_only_exact_match,False,,4241,8,0.30946708004921675
FDA_0020_8K,FDA_0020,FDA,TEMPORAL_VERSION,8K,True,2013-12-30,ANSWER: 2013-12-30,2013-12-30,2013-12-30,2013-12-30,True,True,False,CORRECT,2013-12-30,WRONG_ENTITY,answer_only_exact_match,False,,8268,11,0.6347235795110464
FRED_0023_16K,FRED_0023,FRED,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16410,10,1.2402019472792745
FDA_0025_32K,FDA_0025,FDA,UNANSWERABLE,32K,False,,ANSWER: ORAL,ORAL,INSUFFICIENT_EVIDENCE,oral,False,False,True,FAILED_TO_ABSTAIN,ORAL,OTHER_SAME_DOMAIN,unanswerable_instance_factual_answer,False,,32598,6,2.7748780753463507
FRED_0022_64K,FRED_0022,FRED,UNANSWERABLE,64K,False,,ANSWER: 4.7,4.7,INSUFFICIENT_EVIDENCE,4.7,False,False,True,FAILED_TO_ABSTAIN,4.7,WRONG_PERIOD,unanswerable_instance_factual_answer,False,,64917,8,7.776913441717625
FDA_0010_64K,FDA_0010,FDA,RETRIEVAL_CALCULATION,64K,True,2,ANSWER: 2,2,2,2,True,True,False,CORRECT,,,answer_only_exact_match,False,,65064,6,7.736798851750791
SEC_0008_16K,SEC_0008,SEC,ENTITY_UNIT_BINDING,16K,True,"-15,999,000,000",ANSWER: -9408000000.0,-9408000000.0,-15999000000.0,-9408000000.0,False,True,False,WRONG_ENTITY,-9408000000.0,WRONG_ENTITY,answer_matches_context_distractor_value,False,,16481,11,1.2525725467130542
FRED_0015_4K,FRED_0015,FRED,RETRIEVAL_CALCULATION,4K,True,0.20,ANSWER: 0.2,0.2,0.2,0.2,True,True,False,CORRECT,,,answer_only_exact_match,False,,4289,8,0.3114400515332818
SEC_0013_8K,SEC_0013,SEC,RETRIEVAL_CALCULATION,8K,True,79.70%,ANSWER: -21.21,-21.21,79.7,-21.21,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8297,8,0.5980065409094095
FRED_0016_8K,FRED_0016,FRED,RETRIEVAL_CALCULATION,8K,True,0.00%,ANSWER: 0.03,0.03,0.0,0.03,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8357,8,0.5964339161291718
FRED_0003_8K,FRED_0003,FRED,DIRECT_RETRIEVAL,8K,True,298.786,ANSWER: 298.598,298.598,298.786,298.598,False,True,False,WRONG_VERSION,298.598,WRONG_VERSION,answer_matches_context_distractor_value,False,,8323,8,0.5957988323643804
CT_0003_32K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,32K,True,226,ANSWER: 226,226,226,226,True,True,False,CORRECT,226.0,,answer_only_exact_match,False,,32641,6,2.7815172309055924
SEC_0008_64K,SEC_0008,SEC,ENTITY_UNIT_BINDING,64K,True,"-15,999,000,000",ANSWER: -15999000000.0,-15999000000.0,-15999000000.0,-15999000000.0,True,True,False,CORRECT,-15999000000.0,WRONG_PERIOD,answer_only_exact_match,False,,65325,11,7.9532383205369115
SEC_0008_4K,SEC_0008,SEC,ENTITY_UNIT_BINDING,4K,True,"-15,999,000,000",ANSWER: -9408000000.0,-9408000000.0,-15999000000.0,-9408000000.0,False,True,False,WRONG_ENTITY,-9408000000.0,WRONG_ENTITY,answer_matches_context_distractor_value,False,,4311,11,0.3502475768327713
FRED_0010_16K,FRED_0010,FRED,RETRIEVAL_CALCULATION,16K,True,0.21%,ANSWER: 0.05,0.05,0.21,0.05,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16443,8,1.213470995426178
SEC_0019_16K,SEC_0019,SEC,TEMPORAL_VERSION,16K,True,"10,151,000,000",ANSWER: 10151000000.0,10151000000.0,10151000000.0,10151000000.0,True,True,False,CORRECT,10151000000.0,,answer_only_exact_match,False,,16477,11,1.260183196514845
CT_0003_8K,CT_0003,CLINICAL_TRIALS,DIRECT_RETRIEVAL,8K,True,226,ANSWER: 226,226,226,226,True,True,False,CORRECT,226.0,,answer_only_exact_match,False,,8340,6,0.5668914578855038
FRED_0007_64K,FRED_0007,FRED,ENTITY_UNIT_BINDING,64K,True,3.260,ANSWER: 3.77,3.77,3.26,3.77,False,True,False,WRONG_PERIOD,3.77,WRONG_PERIOD,answer_matches_context_distractor_value,False,,64953,8,7.774773464538157
CT_0021_32K,CT_0021,CLINICAL_TRIALS,UNANSWERABLE,32K,False,,ANSWER: 2015-01-15,2015-01-15,INSUFFICIENT_EVIDENCE,2015-01-15,False,False,True,FAILED_TO_ABSTAIN,2015-01-15,WRONG_FIELD,unanswerable_instance_factual_answer,False,,32690,11,2.89603606890887
SEC_0013_32K,SEC_0013,SEC,RETRIEVAL_CALCULATION,32K,True,79.70%,ANSWER: -33.33,-33.33,79.7,-33.33,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,32714,8,2.8445275658741593
FDA_0002_32K,FDA_0002,FDA,DIRECT_RETRIEVAL,32K,True,TABLET,ANSWER: TABLET,TABLET,tablet,tablet,True,True,False,CORRECT,TABLET,WRONG_ENTITY,answer_only_exact_match,False,,32608,6,2.775657602585852
CT_0008_32K,CT_0008,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,True,EXPERIMENTAL,ANSWER: EXPERIMENTAL,EXPERIMENTAL,experimental,experimental,True,True,False,CORRECT,EXPERIMENTAL,WRONG_ENTITY,answer_only_exact_match,False,,32741,7,2.8108162824064493
SEC_0024_4K,SEC_0024,SEC,UNANSWERABLE,4K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,4281,10,0.3368551190942526
FDA_0014_8K,FDA_0014,FDA,RETRIEVAL_CALCULATION,8K,True,4.0000,ANSWER: 3.5,3.5,4.0,3.5,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8335,8,0.598495633341372
CT_0006_4K,CT_0006,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,True,ACTIVE_COMPARATOR,ANSWER: ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,active_comparator,active_comparator,True,True,False,CORRECT,ACTIVE_COMPARATOR,WRONG_ENTITY,answer_only_exact_match,False,,4300,8,0.3141679046675563
CT_0020_4K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,True,2018-11-26,ANSWER: 2018-11-26,2018-11-26,2018-11-26,2018-11-26,True,True,False,CORRECT,2018-11-26,,answer_only_exact_match,False,,4299,11,0.34984575398266315
CT_0007_4K,CT_0007,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,4K,True,PLACEBO_COMPARATOR,ANSWER: PLACEBO_COMPARATOR,PLACEBO_COMPARATOR,placebo_comparator,placebo_comparator,True,True,False,CORRECT,PLACEBO_COMPARATOR,,answer_only_exact_match,False,,4282,9,0.3268813630566001
SEC_0002_64K,SEC_0002,SEC,DIRECT_RETRIEVAL,64K,True,"63,937,000,000",ANSWER: 193893000000,193893000000,63937000000.0,193893000000.0,False,True,False,WRONG_ENTITY,193893000000.0,WRONG_ENTITY,answer_matches_context_distractor_value,False,,65287,9,7.884527933783829
SEC_0009_64K,SEC_0009,SEC,RETRIEVAL_CALCULATION,64K,True,5.93%,ANSWER: 0.00,0.00,5.93,0.0,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65320,8,7.834808072075248
FRED_0011_16K,FRED_0011,FRED,RETRIEVAL_CALCULATION,16K,True,-0.42%,ANSWER: 0.03,0.03,-0.42,0.03,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,16450,8,1.2097201608121395
CT_0009_32K,CT_0009,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,32K,True,ACTIVE_COMPARATOR,ANSWER: ACTIVE_COMPARATOR,ACTIVE_COMPARATOR,active_comparator,active_comparator,True,True,False,CORRECT,ACTIVE_COMPARATOR,WRONG_ENTITY,answer_only_exact_match,False,,32748,8,2.8342403192073107
FDA_0001_8K,FDA_0001,FDA,DIRECT_RETRIEVAL,8K,True,TABLET,ANSWER: TABLET,TABLET,tablet,tablet,True,True,False,CORRECT,TABLET,WRONG_ENTITY,answer_only_exact_match,False,,8306,6,0.570133762434125
CT_0001_64K,CT_0001,CLINICAL_TRIALS,DIRECT_RETRIEVAL,64K,True,24,ANSWER: 4,4,24,4,False,True,False,WRONG_FIELD,4.0,WRONG_FIELD,answer_matches_context_distractor_value,False,,65143,6,7.753761817701161
CT_0013_64K,CT_0013,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,64K,True,715,ANSWER: 109,109,715,109,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,65178,6,7.754913682118058
FDA_0022_32K,FDA_0022,FDA,UNANSWERABLE,32K,False,,ANSWER: ORAL,ORAL,INSUFFICIENT_EVIDENCE,oral,False,False,True,FAILED_TO_ABSTAIN,ORAL,OTHER_SAME_DOMAIN,unanswerable_instance_factual_answer,False,,32654,6,2.792143488302827
CT_0020_16K,CT_0020,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,16K,True,2018-11-26,ANSWER: 2022-02-14,2022-02-14,2018-11-26,2022-02-14,False,True,False,WRONG_FIELD,2022-02-14,WRONG_FIELD,answer_matches_context_distractor_value,False,,16440,11,1.2540473900735378
CT_0011_16K,CT_0011,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,16K,True,"3,998",ANSWER: 711,711,3998,711,False,True,False,WRONG_ENTITY,711.0,WRONG_ENTITY,answer_matches_context_distractor_value,False,,16416,6,1.1729583702981472
CT_0002_4K,CT_0002,CLINICAL_TRIALS,DIRECT_RETRIEVAL,4K,True,44,ANSWER: 44,44,44,44,True,True,False,CORRECT,44.0,,answer_only_exact_match,False,,4253,6,0.28861153312027454
FRED_0010_4K,FRED_0010,FRED,RETRIEVAL_CALCULATION,4K,True,0.21%,ANSWER: 0.08,0.08,0.21,0.08,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,4313,8,0.31273594684898853
SEC_0025_16K,SEC_0025,SEC,UNANSWERABLE,16K,False,,ANSWER: INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,True,True,False,CORRECT,,,answer_only_exact_match,False,,16423,10,1.2428552396595478
FDA_0010_8K,FDA_0010,FDA,RETRIEVAL_CALCULATION,8K,True,2,ANSWER: 3,3,2,3,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8291,6,0.5511463964357972
FDA_0017_8K,FDA_0017,FDA,RETRIEVAL_CALCULATION,8K,True,2.0000,ANSWER: 0.4,0.4,2.0,0.4,False,True,True,UNSUPPORTED_VALUE,,,answer_not_matched_to_context_value,False,,8333,8,0.5936621455475688
