question_family_id,domain,question_type,answerable,success_every_length,fail_every_length,short_success_long_failure,first_format_failure_context,format_failure_contexts,usable_contexts
FRED_0010,FRED,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0011,FRED,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0012,FRED,RETRIEVAL_CALCULATION,True,False,False,False,4K,4K;8K;32K,16K;64K
FRED_0013,FRED,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;32K,4K;16K;64K
FRED_0014,FRED,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0015,FRED,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0016,FRED,RETRIEVAL_CALCULATION,True,True,False,False,,,4K;8K;16K;32K;64K
FRED_0017,FRED,TEMPORAL_VERSION,True,False,False,True,32K,32K;64K,4K;8K;16K
FRED_0018,FRED,TEMPORAL_VERSION,True,False,False,True,16K,16K,4K;8K;32K;64K
FRED_0019,FRED,TEMPORAL_VERSION,True,False,False,True,16K,16K,4K;8K;32K;64K
FRED_0020,FRED,TEMPORAL_VERSION,True,False,False,False,4K,4K;16K;32K,8K;64K
FRED_0021,FRED,UNANSWERABLE,False,False,False,False,4K,4K;8K;16K,32K;64K
FRED_0022,FRED,UNANSWERABLE,False,False,False,True,64K,64K,4K;8K;16K;32K
FRED_0023,FRED,UNANSWERABLE,False,False,False,True,64K,64K,4K;8K;16K;32K
FRED_0024,FRED,UNANSWERABLE,False,False,False,True,16K,16K,4K;8K;32K;64K
FRED_0025,FRED,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K;64K,4K
SEC_0001,SEC,DIRECT_RETRIEVAL,True,False,False,True,16K,16K;64K,4K;8K;32K
SEC_0002,SEC,DIRECT_RETRIEVAL,True,False,False,True,16K,16K;32K;64K,4K;8K
SEC_0003,SEC,DIRECT_RETRIEVAL,True,False,False,True,16K,16K;32K;64K,4K;8K
SEC_0004,SEC,DIRECT_RETRIEVAL,True,False,False,False,4K,4K;16K;32K;64K,8K
SEC_0005,SEC,DIRECT_RETRIEVAL,True,False,True,False,4K,4K;8K;16K;32K;64K,
SEC_0006,SEC,ENTITY_UNIT_BINDING,True,False,False,False,4K,4K,8K;16K;32K;64K
SEC_0007,SEC,ENTITY_UNIT_BINDING,True,False,False,False,4K,4K;16K;32K;64K,8K
SEC_0008,SEC,ENTITY_UNIT_BINDING,True,False,False,False,4K,4K;16K;64K,8K;32K
SEC_0009,SEC,RETRIEVAL_CALCULATION,True,False,False,False,4K,4K;16K;32K;64K,8K
SEC_0010,SEC,RETRIEVAL_CALCULATION,True,False,True,False,4K,4K;8K;16K;32K;64K,
SEC_0011,SEC,RETRIEVAL_CALCULATION,True,False,True,False,4K,4K;8K;16K;32K;64K,
SEC_0012,SEC,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;16K;32K;64K,4K
SEC_0013,SEC,RETRIEVAL_CALCULATION,True,False,True,False,4K,4K;8K;16K;32K;64K,
SEC_0014,SEC,RETRIEVAL_CALCULATION,True,False,False,True,16K,16K;32K;64K,4K;8K
SEC_0015,SEC,RETRIEVAL_CALCULATION,True,False,False,True,16K,16K;32K;64K,4K;8K
SEC_0016,SEC,RETRIEVAL_CALCULATION,True,False,False,True,8K,8K;16K;32K;64K,4K
SEC_0017,SEC,TEMPORAL_VERSION,True,False,False,False,4K,4K;32K;64K,8K;16K
SEC_0018,SEC,TEMPORAL_VERSION,True,True,False,False,,,4K;8K;16K;32K;64K
SEC_0019,SEC,TEMPORAL_VERSION,True,True,False,False,,,4K;8K;16K;32K;64K
SEC_0020,SEC,TEMPORAL_VERSION,True,False,False,False,4K,4K;8K,16K;32K;64K
SEC_0021,SEC,UNANSWERABLE,False,False,True,False,4K,4K;8K;16K;32K;64K,
SEC_0022,SEC,UNANSWERABLE,False,False,False,True,16K,16K;32K,4K;8K;64K
SEC_0023,SEC,UNANSWERABLE,False,False,False,False,4K,4K;8K,16K;32K;64K
SEC_0024,SEC,UNANSWERABLE,False,False,False,True,8K,8K;16K;32K,4K;64K
SEC_0025,SEC,UNANSWERABLE,False,False,False,True,8K,8K;32K;64K,4K;16K
