instance_id,question_family_id,context_length_label,domain,question_type,answerable,generated_tokens_count,hit_max_new_tokens_512,strict_json_valid,recovery_success,usable_structured_output,format_failure,output_truncated,degenerate_output,malformed_output_pattern,recovery_method,parse_confidence,parse_failure_reason,raw_output_chars
CT_0002_4K,CT_0002,4K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,814
FDA_0005_8K,FDA_0005,8K,FDA,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,943
SEC_0001_4K,SEC_0001,4K,SEC,DIRECT_RETRIEVAL,True,68,False,True,False,True,False,False,False,valid_json,,strict,,169
CT_0004_32K,CT_0004,32K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1100
CT_0009_32K,CT_0009,32K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,27,False,True,False,True,False,False,False,valid_json,,strict,,96
SEC_0016_8K,SEC_0016,8K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,911
FRED_0009_8K,FRED_0009,8K,FRED,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,897
SEC_0008_16K,SEC_0008,16K,SEC,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,906
CT_0024_16K,CT_0024,16K,CLINICAL_TRIALS,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,813
FRED_0025_32K,FRED_0025,32K,FRED,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,954
FDA_0018_8K,FDA_0018,8K,FDA,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,878
FDA_0005_64K,FDA_0005,64K,FDA,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,858
CT_0017_8K,CT_0017,8K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,81,False,True,False,True,False,False,False,valid_json,,strict,,187
SEC_0004_4K,SEC_0004,4K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,839
FDA_0002_16K,FDA_0002,16K,FDA,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,False,partially_truncated_json,,none,no unambiguous complete response object with all required fields,836
SEC_0020_8K,SEC_0020,8K,SEC,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1035
CT_0016_32K,CT_0016,32K,CLINICAL_TRIALS,RETRIEVAL_CALCULATION,True,28,False,True,False,True,False,False,False,valid_json,,strict,,90
SEC_0017_64K,SEC_0017,64K,SEC,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,866
SEC_0001_64K,SEC_0001,64K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,855
SEC_0005_4K,SEC_0005,4K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1022
SEC_0008_64K,SEC_0008,64K,SEC,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,810
FDA_0024_16K,FDA_0024,16K,FDA,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1026
FRED_0025_64K,FRED_0025,64K,FRED,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,858
FDA_0019_64K,FDA_0019,64K,FDA,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,811
CT_0020_64K,CT_0020,64K,CLINICAL_TRIALS,ENTITY_UNIT_BINDING,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,742
SEC_0004_16K,SEC_0004,16K,SEC,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,906
SEC_0013_8K,SEC_0013,8K,SEC,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1025
FRED_0018_16K,FRED_0018,16K,FRED,TEMPORAL_VERSION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,910
FDA_0011_4K,FDA_0011,4K,FDA,RETRIEVAL_CALCULATION,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,998
FRED_0023_64K,FRED_0023,64K,FRED,UNANSWERABLE,False,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,818
CT_0005_32K,CT_0005,32K,CLINICAL_TRIALS,DIRECT_RETRIEVAL,True,512,True,False,False,False,True,True,True,repetitive_truncated_selected_evidence,,none,degenerate repeated evidence IDs; required fields are incomplete,1239
SEC_0019_8K,SEC_0019,8K,SEC,TEMPORAL_VERSION,True,30,False,True,False,True,False,False,False,valid_json,,strict,,92
